Total Cycles,Elapsed Cycles,Step,PC:Cycle Start Time (s),PC:Frequency (Hz),"Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",width,thickness
1,1,2,2.216,1,41.13167242,32.30895678,3.370179236,-3.980141878,3.769938336,-3.7536048,3.761771568,13,5
2,2,2,3.217,1,41.07877031,32.30458478,3.247325122,-3.926636279,3.765747384,-3.74994582,3.757846602,,
3,3,2,4.217,1,41.04795173,32.32619445,3.179045022,-3.867474571,3.762826756,-3.750433833,3.756630295,,
4,4,2,5.217,1,41.02506355,32.33624603,3.128020838,-3.832194209,3.765431107,-3.755686492,3.760558799,,
5,5,2,6.217,1,41.00409761,32.34260733,3.08325775,-3.801745921,3.765087635,-3.759050057,3.762068846,,
6,6,2,7.217,1,40.9840481,32.35116134,3.043647856,-3.772065789,3.76541248,-3.762924359,3.76416842,,
7,7,2,8.217,1,40.96827224,32.36019592,3.003088199,-3.737147152,3.766709626,-3.765013874,3.76586175,,
8,8,2,9.217,1,40.95292106,32.36530553,2.963889576,-3.706659004,3.7674599,-3.768121139,3.767790519,,
9,9,2,10.217,1,40.93625113,32.37046431,2.926154807,-3.68212983,3.767497153,-3.771945895,3.769721524,,
