Total Cycles,Elapsed Cycles,Step,PC:Cycle Start Time (s),PC:Frequency (Hz),"Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",width,thickness
1,1,2,2.196,1,36.51795086,32.33891706,2.132275701,-2.033467591,1.864620328,-2.966431203,2.415525766,13,5
2,2,2,3.197,1,38.1610677,33.78292904,3.090706654,-0.673841406,1.877788857,-1.86452347,1.871156164,,
3,3,2,4.197,1,38.14660165,33.7790756,3.034655005,-0.719096325,1.872640692,-1.864743263,1.868691977,,
4,4,2,5.197,1,38.13931498,33.77607376,3.004574403,-0.747077866,1.870648593,-1.863938972,1.867293783,,
5,5,2,6.197,1,38.13376728,33.77160118,2.982977033,-0.771663105,1.870453015,-1.864826709,1.867639862,,
6,6,2,7.197,1,38.12850121,33.76826854,2.965192124,-0.78944983,1.870613389,-1.864656277,1.867634833,,
7,7,2,8.197,1,38.12501881,33.76639322,2.951339073,-0.80477139,1.869682625,-1.864908107,1.867295366,,
8,8,2,9.197,1,38.12194321,33.76428769,2.939253859,-0.819141045,1.870075643,-1.865039609,1.867557626,,
9,9,2,10.197,1,38.11884079,33.76171053,2.928182296,-0.830598176,1.86982102,-1.865259774,1.867540397,,
10,10,2,11.197,1,38.1165922,33.7599291,2.917790599,-0.842475425,1.870171011,-1.86530336,1.867737185,,
11,11,2,12.197,1,38.11403516,33.75882716,2.908535302,-0.85281292,1.869829401,-1.865758032,1.867793717,,
12,12,2,13.197,1,38.1113619,33.75712619,2.90085692,-0.860016234,1.869624883,-1.865675703,1.867650293,,
13,13,2,14.197,1,38.11026219,33.75558169,2.892046794,-0.867826026,1.869457804,-1.86615999,1.867808897,,
14,14,2,15.197,1,38.10817454,33.75433669,2.885285206,-0.877308846,1.869421296,-1.865987137,1.867704216,,
15,15,2,16.197,1,38.10576055,33.75234292,2.878169157,-0.883642025,1.869138733,-1.866441622,1.867790178,,
16,16,2,17.197,1,38.10262683,33.75171036,2.871214598,-0.890217442,1.868947066,-1.866849728,1.867898397,,
17,17,2,18.197,1,38.10125891,33.75129239,2.865870856,-0.896751974,1.869075962,-1.866573498,1.86782473,,
18,18,2,19.197,1,38.09966746,33.74919356,2.859429456,-0.901301019,1.869075775,-1.866855688,1.867965732,,
19,19,2,20.197,1,38.0965114,33.74797315,2.853655256,-0.907423347,1.868671768,-1.867259137,1.867965452,,
20,20,2,21.197,1,38.09563074,33.74657617,2.8483022,-0.914664287,1.868836612,-1.866808377,1.867822494,,
21,21,2,22.197,1,38.09350732,33.74477462,2.84312889,-0.917537045,1.868836425,-1.867578581,1.868207503,,
22,22,2,23.197,1,38.09270266,33.74520601,2.837828174,-0.921972003,1.868955821,-1.867438883,1.868197352,,
23,23,2,24.197,1,38.09229586,33.74392525,2.833412401,-0.928353891,1.868586831,-1.867617138,1.868101984,,
24,24,2,25.197,1,38.0895913,33.74326364,2.829439193,-0.930783153,1.868764714,-1.867932111,1.868348412,,
25,25,2,26.197,1,38.08884475,33.74294178,2.824431844,-0.936034601,1.868616633,-1.867367543,1.867992088,,
26,26,2,27.197,1,38.08665428,33.74229805,2.820012532,-0.941149332,1.8686198,-1.867974579,1.86829719,,
27,27,2,28.197,1,38.08564845,33.74097706,2.817024849,-0.944261625,1.869037964,-1.867814764,1.868426364,,
28,28,2,29.197,1,38.0840883,33.74093012,2.81200856,-0.948962476,1.86891298,-1.8674739,1.86819344,,
29,29,2,30.197,1,38.08286789,33.74071331,2.808102407,-0.951948576,1.868135326,-1.867726103,1.867930714,,
