Total Cycles,Elapsed Cycles,Step,PC:Cycle Start Time (s),PC:Frequency (Hz),"Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",width,thickness
1,1,2,2.206,3,33.72701392,31.0787571,0.807655137,-2.07047537,0.620838032,-1.424310007,1.022574019,3,5
2,2,2,2.54,3,34.73005061,31.08061006,1.774791256,-2.065136656,1.444858988,-1.424045604,1.434452296,,
3,3,2,2.873,3,34.73666673,31.08165612,1.770762727,-2.064434066,1.448443276,-1.426027552,1.437235414,,
4,4,2,3.207,3,34.74334766,31.0702165,1.771061495,-2.076485008,1.454366953,-1.44042673,1.447396842,,
5,5,2,3.54,3,34.75403403,31.06302147,1.777130552,-2.081213892,1.46197232,-1.45044059,1.456206455,,
6,6,2,3.873,3,34.75902741,31.05586891,1.777398214,-2.090093121,1.467019436,-1.460313355,1.463666395,,
7,7,2,4.207,3,34.76225053,31.04890188,1.778173633,-2.097408101,1.470430405,-1.469157753,1.469794079,,
8,8,2,4.54,3,34.76957296,31.04391967,1.782610081,-2.100757509,1.475625043,-1.47493484,1.475279942,,
9,9,2,4.873,3,34.77449929,31.04108324,1.787118241,-2.105484903,1.479697717,-1.480495022,1.480096369,,
10,10,2,5.207,3,34.77933173,31.03709122,1.788890362,-2.109529264,1.483606105,-1.485588612,1.484597358,,
11,11,2,5.54,3,34.78256156,31.0357747,1.791416295,-2.109815553,1.485624933,-1.489313343,1.487469138,,
12,12,2,5.873,3,34.78598585,31.03498568,1.791166887,-2.11018566,1.489770623,-1.492978656,1.491374639,,
13,13,2,6.207,3,34.78779634,31.03304778,1.791890711,-2.110895328,1.492311457,-1.496866369,1.494588913,,
14,14,2,6.54,3,34.79054784,31.03217383,1.795945689,-2.113109827,1.493476448,-1.500445442,1.496960945,,
15,15,2,6.873,3,34.7928903,31.03412514,1.7945081,-2.111934684,1.49668383,-1.499785786,1.498234808,,
16,16,2,7.207,3,34.79260643,31.03173574,1.794113219,-2.114314027,1.498382376,-1.504881238,1.501631807,,
17,17,2,7.54,3,34.79569321,31.03136693,1.799028367,-2.113314532,1.499588812,-1.505664108,1.50262646,,
18,18,2,7.873,3,34.7947142,31.03133788,1.797313616,-2.113101259,1.501169918,-1.506952407,1.504061162,,
