Total Cycles,Elapsed Cycles,Step,PC:Cycle Start Time (s),PC:Frequency (Hz),"Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",width,thickness
45,45,2,16.868,3,38.33940332,33.72531966,2.470048517,-1.962545328,1.891071566,-1.865792304,1.878431935,,
46,46,2,17.202,3,38.3386523,33.72424454,2.468918636,-1.960206777,1.890218288,-1.867076784,1.878647536,,
47,47,2,17.535,3,38.34009622,33.72622491,2.465973981,-1.956869289,1.889664896,-1.86686407,1.878264483,,
48,48,2,17.868,3,38.34009622,33.72534648,2.465237118,-1.961541362,1.891057782,-1.866497688,1.878777735,,
49,49,2,18.202,3,38.33907698,33.72719497,2.466212958,-1.95906572,1.890186996,-1.865815774,1.878001385,,
50,50,2,18.535,3,38.34006046,33.72704075,2.464485541,-1.956061088,1.889673464,-1.866892196,1.87828283,,
51,51,2,18.868,3,38.3401588,33.72595222,2.463718131,-1.958743297,1.891588077,-1.867601678,1.879594878,,
52,52,2,19.202,3,38.33904122,33.72559682,2.462328039,-1.959954202,1.890312538,-1.866079897,1.878196217,,
53,53,2,19.535,3,38.34108417,33.72594104,2.460459247,-1.957654767,1.889829927,-1.868296631,1.879063279,,
54,54,2,19.868,3,38.3391798,33.72501568,2.46022474,-1.957577467,1.890071884,-1.87019299,1.880132437,,
55,55,2,20.202,3,38.33896969,33.72402773,2.457049303,-1.960868761,1.888837137,-1.870027959,1.879432548,,
56,56,2,20.535,3,38.34053431,33.72431383,2.457350679,-1.958899572,1.89015589,-1.869212121,1.879684005,,
57,57,2,20.868,3,38.34045385,33.72354046,2.457425557,-1.957483217,1.890725859,-1.869608678,1.880167268,,
58,58,2,21.202,3,38.33960448,33.72331024,2.456196211,-1.959200017,1.888759837,-1.870045282,1.87940256,,
59,59,2,21.535,3,38.34012751,33.72314707,2.456425317,-1.96164567,1.890325577,-1.86887908,1.879602328,,
60,60,2,21.868,3,38.34117357,33.72374386,2.45499108,-1.958554983,1.890981973,-1.869671263,1.880326618,,
61,61,2,22.202,3,38.34086512,33.72259722,2.45481208,-1.958885975,1.890050836,-1.870238811,1.880144824,,
62,62,2,22.535,3,38.34016327,33.72354046,2.45298259,-1.960349455,1.889980428,-1.869468607,1.879724518,,
63,63,2,22.868,3,38.34137921,33.72327224,2.454345487,-1.962813176,1.890933358,-1.869204298,1.880068828,,
64,64,2,23.202,3,38.34012304,33.7216808,2.452785894,-1.959763467,1.888941072,-1.870739117,1.879840095,,
65,65,2,23.535,3,38.34134792,33.72161151,2.450511046,-1.96325276,1.88968315,-1.8708831,1.880283125,,
66,66,2,23.868,3,38.34028844,33.7213947,2.450656146,-1.965441369,1.889547177,-1.870298416,1.879922796,,
67,67,2,24.202,3,38.33967601,33.71897624,2.449539863,-1.963752881,1.889034205,-1.871704899,1.880369552,,
68,68,2,24.535,3,38.34147309,33.7173155,2.450140938,-1.966456883,1.889280633,-1.873072267,1.88117645,,
69,69,2,24.868,3,38.34131215,33.71662707,2.449570596,-1.966184564,1.889081888,-1.872127347,1.880604618,,
70,70,2,25.202,3,38.34115122,33.71646837,2.448389865,-1.965364255,1.888904006,-1.87168143,1.880292718,,
71,71,2,25.535,3,38.34127639,33.71507362,2.446711622,-1.964662969,1.889048361,-1.87370985,1.881379105,,
72,72,2,25.868,3,38.34036891,33.71284515,2.445481904,-1.966214925,1.887781389,-1.875287324,1.881534357,,
73,73,2,26.202,3,38.34095006,33.71158675,2.444520406,-1.965213567,1.888242208,-1.874613606,1.881427907,,
74,74,2,26.535,3,38.34096347,33.71221707,2.445259318,-1.965515502,1.887802251,-1.874554001,1.881178126,,
75,75,2,26.868,3,38.34033762,33.71028811,2.443404682,-1.967097446,1.886108175,-1.875091747,1.880599961,,
76,76,2,27.202,3,38.34024374,33.70863409,2.441409044,-1.968455128,1.887646161,-1.876273595,1.881959878,,
77,77,2,27.535,3,38.34013645,33.70974944,2.442778274,-1.969931833,1.887420968,-1.873417601,1.880419284,,
78,78,2,27.868,3,38.33977882,33.70816917,2.441450767,-1.971063204,1.886866272,-1.874029853,1.880448062,,
79,79,2,28.202,3,38.34082489,33.70813788,2.441230044,-1.970272511,1.887956478,-1.872697875,1.880327177,,
80,80,2,28.535,3,38.34208552,33.70689736,2.441032417,-1.97671894,1.887765184,-1.872661367,1.880213276,,
81,81,2,28.868,3,38.34318076,33.70607481,2.442895435,-1.974499971,1.888472431,-1.871906251,1.880189341,,
82,82,2,29.202,3,38.34232692,33.70410786,2.440058812,-1.975943893,1.889527619,-1.873323351,1.881425485,,
83,83,2,29.535,3,38.34196482,33.70530368,2.440362796,-1.977822371,1.888017014,-1.873542585,1.880779799,,
84,84,2,29.868,3,38.34105287,33.7031512,2.441227995,-1.978234388,1.886636049,-1.872513101,1.879574575,,
85,85,2,30.202,3,38.34219728,33.70261476,2.438055351,-1.97666008,1.888341859,-1.872596733,1.880469296,,
86,86,2,30.535,3,38.34113334,33.70048464,2.438147366,-1.978604496,1.886456676,-1.87413621,1.880296443,,
87,87,2,30.868,3,38.34300642,33.69947658,2.438459732,-1.980022341,1.88798479,-1.873703703,1.880844247,,
88,88,2,31.202,3,38.34148203,33.69912118,2.435903624,-1.981411316,1.887818642,-1.87444932,1.881133981,,
89,89,2,31.535,3,38.34174578,33.69778455,2.437839657,-1.982923783,1.88602417,-1.874749765,1.880386967,,
90,90,2,31.868,3,38.34077571,33.69640321,2.437736653,-1.984831318,1.886095323,-1.875490166,1.880792745,,
91,91,2,32.202,3,38.34154908,33.69543762,2.433808334,-1.986032166,1.886855282,-1.875742555,1.881298919,,
92,92,2,32.535,3,38.3411691,33.69489447,2.432604693,-1.988349669,1.885332197,-1.876381442,1.88085682,,
93,93,2,32.868,3,38.34198718,33.69382606,2.436518669,-1.989625953,1.888010681,-1.875782415,1.881896548,,
94,94,2,33.202,3,38.34111993,33.69263024,2.43263524,-1.992237382,1.887040057,-1.876404353,1.881722205,,
95,95,2,33.535,3,38.34274714,33.69163335,2.432751283,-1.994520798,1.88660159,-1.877868392,1.882234991,,
96,96,2,33.868,3,38.34288125,33.68904278,2.432729304,-1.994712837,1.88724234,-1.878740855,1.882991597,,
97,97,2,34.202,3,38.34110652,33.6888975,2.43150834,-1.995946281,1.885778487,-1.879350499,1.882564493,,
98,98,2,34.535,3,38.34194694,33.68825153,2.430892177,-1.997123472,1.885810897,-1.878961951,1.882386424,,
99,99,2,34.868,3,38.34145521,33.68682549,2.43234653,-1.994916983,1.886245266,-1.879331872,1.882788569,,
100,100,2,35.202,3,38.34138815,33.68620635,2.430541068,-1.998746209,1.884515986,-1.880195208,1.882355597,,
101,101,2,35.535,3,38.3411244,33.68536816,2.428605966,-1.998408884,1.885893785,-1.879751154,1.882822469,,
102,102,2,35.868,3,38.34130321,33.68277535,2.43109744,-1.998387277,1.886355535,-1.881156519,1.883756027,,
103,103,2,36.202,3,38.34170554,33.68166671,2.427513711,-2.000029758,1.884770051,-1.883729019,1.884249535,,
104,104,2,36.535,3,38.340807,33.68234173,2.429993078,-2.000568993,1.885562048,-1.880793676,1.883177862,,
105,105,2,36.868,3,38.3423761,33.67960364,2.429110184,-2.002410777,1.885706589,-1.883073554,1.884390071,,
106,106,2,37.202,3,38.34111993,33.68018032,2.425885573,-2.00282,1.883789741,-1.882713318,1.88325153,,
107,107,2,37.535,3,38.34233139,33.67896438,2.428041957,-2.004111186,1.885444142,-1.883111924,1.884278033,,
108,108,2,37.868,3,38.34206764,33.67912084,2.426264435,-2.006490529,1.884869516,-1.881557174,1.883213345,,
109,109,2,38.202,3,38.34114228,33.67946283,2.420511842,-2.006578445,1.884782903,-1.881586604,1.883184754,,
110,110,2,38.535,3,38.34170107,33.67819101,2.423453517,-2.006617561,1.885104023,-1.882231452,1.883667738,,
111,111,2,38.868,3,38.34151332,33.67810384,2.423906513,-2.011208609,1.884164878,-1.880997263,1.88258107,,
112,112,2,39.202,3,38.34131662,33.67730141,2.418943681,-2.007798105,1.885310591,-1.883148991,1.884229791,,
113,113,2,39.535,3,38.34260408,33.67626206,2.422399819,-2.010322548,1.886059747,-1.882995509,1.884527628,,
114,114,2,39.868,3,38.3415759,33.67557586,2.421121299,-2.009537257,1.883920499,-1.882400208,1.883160353,,
115,115,2,40.202,3,38.34290807,33.675064,2.421173081,-2.00643912,1.886107058,-1.881429583,1.88376832,,
116,116,2,40.535,3,38.34224646,33.67426828,2.420639992,-2.00998839,1.885079995,-1.883318492,1.884199243,,
117,117,2,40.868,3,38.34240292,33.67510871,2.419873513,-2.00805217,1.884636127,-1.881780692,1.883208409,,
118,118,2,41.202,3,38.34197377,33.674123,2.416962199,-2.009485476,1.885201626,-1.882605657,1.883903642,,
119,119,2,41.535,3,38.34183518,33.6736782,2.419972606,-2.008523606,1.885752783,-1.883285895,1.884519339,,
120,120,2,41.868,3,38.34213023,33.67274836,2.420076355,-2.010830306,1.883976564,-1.883758635,1.883867599,,
121,121,2,42.202,3,38.34279631,33.67246897,2.414593846,-2.010776848,1.884765208,-1.882193081,1.883479145,,
122,122,2,42.535,3,38.34336404,33.67223204,2.418145165,-2.011500485,1.88592843,-1.88368208,1.884805255,,
123,123,2,42.868,3,38.34374402,33.6709714,2.416870184,-2.013140358,1.884774708,-1.884618245,1.884696477,,
124,124,2,43.202,3,38.34382896,33.67150784,2.414180152,-2.015386149,1.886238002,-1.883498796,1.884868399,,
125,125,2,43.535,3,38.34445034,33.67195488,2.417712845,-2.012878656,1.886007592,-1.883485943,1.884746768,,
126,126,2,43.868,3,38.3434758,33.67041708,2.413525246,-2.01465413,1.884792962,-1.884483204,1.884638083,,
127,127,2,44.202,3,38.34377085,33.67010862,2.412621863,-2.017704397,1.885584399,-1.884028159,1.884806279,,
128,128,2,44.535,3,38.34349368,33.6699544,2.411037683,-2.014307119,1.884936199,-1.884458989,1.884697594,,
129,129,2,44.868,3,38.34433858,33.6693956,2.414062805,-2.017576993,1.885167912,-1.884265088,1.8847165,,
130,130,2,45.202,3,38.34332381,33.6704819,2.408782952,-2.015513554,1.884723485,-1.886016347,1.885369916,,
131,131,2,45.535,3,38.34406589,33.66934419,2.4105886,-2.015411854,1.88471026,-1.886924386,1.885817323,,
132,132,2,45.868,3,38.34386919,33.66934866,2.410071902,-2.016965114,1.885091916,-1.887803741,1.886447829,,
133,133,2,46.202,3,38.34327464,33.66848365,2.407837287,-2.015435509,1.885064349,-1.889569715,1.887317032,,
134,134,2,46.535,3,38.3447722,33.6690335,2.410392277,-2.012186125,1.88476912,-1.890650981,1.88771005,,
135,135,2,46.868,3,38.34361438,33.66791145,2.40768604,-2.014493942,1.884454519,-1.890367113,1.887410816,,
136,136,2,47.202,3,38.3441553,33.66894857,2.407137863,-2.015215717,1.885180392,-1.892055601,1.888617997,,
137,137,2,47.535,3,38.3447275,33.66858647,2.407073043,-2.013624832,1.885059134,-1.891997487,1.88852831,,
138,138,2,47.868,3,38.34449057,33.6688301,2.409639955,-2.013130859,1.885492012,-1.89223069,1.888861351,,
139,139,2,48.202,3,38.34428494,33.66835848,2.404926531,-2.013372816,1.885562048,-1.893580176,1.889571112,,
140,140,2,48.535,3,38.34474091,33.66803662,2.407015115,-2.016544715,1.88435375,-1.894309961,1.889331855,,
141,141,2,48.868,3,38.34441011,33.66934196,2.406431362,-2.012117766,1.884960413,-1.894103952,1.889532183,,
142,142,2,49.202,3,38.3436725,33.66912515,2.402880788,-2.01428514,1.884848096,-1.894836531,1.889842313,,
143,143,2,49.535,3,38.34495102,33.66940454,2.40653716,-2.015347593,1.883742243,-1.895019256,1.88938075,,
144,144,2,49.868,3,38.34587191,33.67072553,2.404841408,-2.013708092,1.88558086,-1.894980886,1.890280873,,
145,145,2,50.202,3,38.34360544,33.66994545,2.402485907,-2.016491257,1.884837479,-1.895000257,1.889918868,,
146,146,2,50.535,3,38.34518348,33.67111222,2.404025197,-2.01699324,1.885029331,-1.895361983,1.890195657,,
