Total Cycles,Elapsed Cycles,Step,PC:Cycle Start Time (s),PC:Frequency (Hz),"Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",width,thickness
1,1,2,3.217,5,32.78447223,30.87779258,0.572943315,-1.671566628,0.429254963,-1.143864002,0.786559483,13,5
2,2,2,3.418,5,34.0559444,30.47350543,1.800915413,-1.738586463,1.508778078,-1.499851165,1.504314622,,
3,3,2,3.618,5,34.05902,30.48167276,1.796730608,-1.720129699,1.504004491,-1.491698274,1.497851383,,
4,4,2,3.818,5,34.06432631,30.48073622,1.799825765,-1.696711779,1.515113587,-1.484027342,1.499570464,,
5,5,2,4.018,5,34.0663849,30.42661148,1.817997918,-1.699573733,1.509343577,-1.492941683,1.50114263,,
6,6,2,4.218,5,34.07184096,30.38809496,1.823166385,-1.747546345,1.527487232,-1.485389588,1.50643841,,
7,7,2,4.418,5,34.07208907,30.37296953,1.818748005,-1.75431408,1.519063791,-1.477051829,1.49805781,,
8,8,2,4.618,5,34.06764554,30.36646964,1.819108613,-1.758341677,1.515303111,-1.495616721,1.505459916,,
9,9,2,4.818,5,34.06754496,30.37066954,1.829699986,-1.749736816,1.514244011,-1.501849783,1.508046897,,
10,10,2,5.018,5,34.06555789,30.37679615,1.830416732,-1.742203906,1.507442096,-1.501159301,1.504300698,,
11,11,2,5.218,5,34.0682781,30.38064065,1.828331687,-1.730309054,1.503691939,-1.498926548,1.501309244,,
12,12,2,5.418,5,34.06876983,30.37922578,1.831500977,-1.734831743,1.503462368,-1.492967201,1.498214785,,
13,13,2,5.618,5,34.07128217,30.38189011,1.83509998,-1.724983938,1.504409989,-1.489259047,1.496834518,,
14,14,2,5.818,5,34.07387274,30.3858799,1.840902865,-1.725734398,1.504040906,-1.486909134,1.49547502,,
15,15,2,6.018,5,34.07671811,30.38837435,1.836422272,-1.725855097,1.50602751,-1.489764848,1.497896179,,
16,16,2,6.218,5,34.07817992,30.39082634,1.856847666,-1.724943146,1.50375499,-1.491340646,1.497547818,,
17,17,2,6.418,5,34.07914775,30.39369183,1.856698282,-1.720377617,1.504568035,-1.493372792,1.498970413,,
18,18,2,6.618,5,34.08162209,30.39776879,1.858878322,-1.717122085,1.504691249,-1.493693353,1.499192301,,
19,19,2,6.818,5,34.08460604,30.4032405,1.859240234,-1.712907292,1.505454281,-1.491088071,1.498271176,,
20,20,2,7.018,5,34.08592033,30.40657091,1.861638762,-1.710503921,1.506093355,-1.489861333,1.497977344,,
21,21,2,7.218,5,34.08636289,30.41309761,1.861124113,-1.700665988,1.506839344,-1.48844861,1.497643977,,
22,22,2,7.418,5,34.0886383,30.41593405,1.866314933,-1.696773991,1.506221784,-1.485025161,1.495623473,,
23,23,2,7.618,5,34.08923956,30.42037758,1.866848953,-1.688499562,1.506746678,-1.482203068,1.494474873,,
24,24,2,7.818,5,34.09010234,30.42415949,1.868938841,-1.686127298,1.5072888,-1.479526074,1.493407437,,
25,25,2,8.018,5,34.09067007,30.42751002,1.868120581,-1.682108268,1.506977273,-1.476927032,1.491952153,,
26,26,2,8.218,5,34.09205364,30.43101477,1.867165789,-1.677778177,1.508452488,-1.474124217,1.491288352,,
27,27,2,8.418,5,34.09169378,30.43521243,1.87238846,-1.669181511,1.508571139,-1.471424778,1.489997958,,
28,28,2,8.618,5,34.09291642,30.43710339,1.868627407,-1.665614545,1.508479124,-1.471351576,1.48991535,,
29,29,2,8.818,5,34.09276443,30.4395129,1.865532063,-1.664206199,1.508058818,-1.468835422,1.48844712,,
30,30,2,9.018,5,34.0955964,30.44148209,1.868323795,-1.661159284,1.509267302,-1.466595405,1.487931354,,
31,31,2,9.218,5,34.09510913,30.44292825,1.868768409,-1.665199548,1.508640056,-1.462660753,1.485650405,,
32,32,2,9.418,5,34.09626248,30.44264215,1.869108155,-1.664591953,1.509165136,-1.464314968,1.486740052,,
33,33,2,9.618,5,34.09678774,30.44400784,1.866641827,-1.659723558,1.508476796,-1.464480744,1.48647877,,
34,34,2,9.818,5,34.09647035,30.44520142,1.864896528,-1.656154357,1.508269949,-1.463645161,1.485957555,,
35,35,2,10.018,5,34.09761029,30.44656488,1.869171858,-1.656962745,1.508543478,-1.462227409,1.485385444,,
36,36,2,10.218,5,34.09760805,30.44721979,1.86774265,-1.65720433,1.508866275,-1.461942704,1.485404489,,
37,37,2,10.418,5,34.09791204,30.44823232,1.870656759,-1.656832546,1.508598147,-1.459996426,1.484297286,,
38,38,2,10.618,5,34.09783381,30.44915545,1.867041364,-1.654648967,1.508178865,-1.461066795,1.48462283,,
39,39,2,10.818,5,34.09926432,30.44977906,1.865976676,-1.654044911,1.509095753,-1.458275155,1.483685454,,
40,40,2,11.018,5,34.09814896,30.4493432,1.86804235,-1.65508762,1.507788176,-1.461644494,1.484716335,,
41,41,2,11.218,5,34.09914585,30.45070666,1.86855942,-1.651283167,1.508123452,-1.45980001,1.483961731,,
42,42,2,11.418,5,34.09884634,30.45112016,1.870715059,-1.656377502,1.508147946,-1.460118895,1.48413342,,
43,43,2,11.618,5,34.0991168,30.45116934,1.868445985,-1.649643853,1.507993812,-1.458536857,1.483265334,,
44,44,2,11.818,5,34.099613,30.4515739,1.866072044,-1.649488322,1.507375786,-1.460082945,1.483729366,,
45,45,2,12.018,5,34.09991699,30.45267585,1.870194264,-1.653907076,1.507752413,-1.458600746,1.483176579,,
46,46,2,12.218,5,34.10020533,30.45213046,1.868485101,-1.653281972,1.508691279,-1.458935463,1.483813371,,
47,47,2,12.418,5,34.10020309,30.45276972,1.869094558,-1.651743986,1.507798793,-1.458019135,1.482908964,,
48,48,2,12.618,5,34.10050037,30.4516879,1.866794378,-1.648536325,1.508573467,-1.461487287,1.485030377,,
49,49,2,12.818,5,34.10031932,30.4531497,1.866756193,-1.647097804,1.508822968,-1.457852242,1.483337605,,
50,50,2,13.018,5,34.10030367,30.45426505,1.868047006,-1.647983491,1.507865941,-1.458306913,1.483086427,,
51,51,2,13.218,5,34.10144138,30.45423823,1.8728517,-1.645620167,1.508414024,-1.458345377,1.483379701,,
52,52,2,13.418,5,34.1011441,30.45690256,1.867537387,-1.643353887,1.50946884,-1.457870496,1.483669668,,
53,53,2,13.618,5,34.10116198,30.45645553,1.866319962,-1.644139364,1.509268885,-1.456865505,1.483067195,,
54,54,2,13.818,5,34.10185712,30.45676398,1.864786632,-1.642617024,1.508285874,-1.456278772,1.482282323,,
55,55,2,14.018,5,34.10219016,30.45826155,1.864950173,-1.638305373,1.508852212,-1.456500334,1.482676273,,
56,56,2,14.218,5,34.10203817,30.46049672,1.867073029,-1.634577103,1.509242622,-1.455445983,1.482344303,,
57,57,2,14.418,5,34.10223933,30.46032014,1.868354157,-1.637491584,1.509212913,-1.453653839,1.481433376,,
58,58,2,14.618,5,34.1017923,30.46232062,1.865130477,-1.636831462,1.508992003,-1.457098522,1.483045263,,
59,59,2,14.818,5,34.10117986,30.46377572,1.862062141,-1.636734232,1.508998802,-1.453968626,1.481483714,,
60,60,2,15.018,5,34.10198676,30.46552363,1.866110601,-1.632553525,1.50901333,-1.45271162,1.480862475,,
61,61,2,15.218,5,34.10220134,30.4664244,1.866409741,-1.63388513,1.508605132,-1.449762401,1.479183766,,
62,62,2,15.418,5,34.1019957,30.46868193,1.86471343,-1.632674225,1.508781804,-1.45065973,1.479720767,,
63,63,2,15.618,5,34.10239133,30.46889874,1.866829023,-1.632190496,1.509025903,-1.449960028,1.479492966,,
64,64,2,15.818,5,34.10189959,30.47034266,1.866312884,-1.631851122,1.50899964,-1.449797046,1.479398343,,
65,65,2,16.018,5,34.10222369,30.47177988,1.865277067,-1.624811813,1.509093983,-1.448653662,1.478873822,,
66,66,2,16.218,5,34.10271096,30.47283265,1.865540445,-1.623542607,1.509040805,-1.447779895,1.47841035,,
67,67,2,16.418,5,34.10185488,30.47518629,1.868828759,-1.622248255,1.508555027,-1.44717975,1.477867389,,
68,68,2,16.618,5,34.10128491,30.47619211,1.863463596,-1.625603624,1.508489089,-1.444748253,1.476618671,,
69,69,2,16.818,5,34.1017923,30.47846529,1.874965243,-1.617809944,1.508428739,-1.445592125,1.477010432,,
70,70,2,17.018,5,34.10248744,30.47964993,1.871716976,-1.626090333,1.508441778,-1.444216841,1.476329309,,
71,71,2,17.218,5,34.10175654,30.48028025,1.872132346,-1.62270423,1.508201031,-1.44229636,1.475248696,,
