Total Cycles,Elapsed Cycles,Step,PC:Cycle Start Time (s),PC:Frequency (Hz),"Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",width,thickness
1,1,2,2.201,5,35.43980785,34.07846826,0.374708395,-1.140644029,0.270962487,-0.757747528,0.514355007,13,5
2,2,2,2.402,5,36.41057086,33.73736949,1.358497888,-1.507938933,1.057495939,-1.027228327,1.042362133,,
3,3,2,2.602,5,36.4148691,33.73852284,1.361760031,-1.502752118,1.059822103,-1.028474623,1.044148363,,
4,4,2,2.802,5,36.42383214,33.73028622,1.365892496,-1.515701972,1.066846045,-1.038673257,1.052759651,,
5,5,2,3.002,5,36.4331707,33.7218462,1.373189036,-1.522135921,1.071294507,-1.04493277,1.058113638,,
6,6,2,3.202,5,36.43901792,33.71186838,1.37854619,-1.531585585,1.076456922,-1.052160205,1.064308564,,
7,7,2,3.402,5,36.44346592,33.70275334,1.383079216,-1.540265512,1.081267668,-1.057562901,1.069415285,,
8,8,2,3.602,5,36.44833189,33.69629145,1.386397332,-1.551255397,1.085514593,-1.062821334,1.074167964,,
9,9,2,3.802,5,36.45245132,33.6887835,1.388427895,-1.559167076,1.089322771,-1.070573943,1.079948357,,
10,10,2,4.002,5,36.45737541,33.6832291,1.391323935,-1.56335365,1.092946174,-1.073082088,1.083014131,,
11,11,2,4.202,5,36.45944071,33.6764364,1.391148288,-1.572926342,1.095237973,-1.078162453,1.086700213,,
12,12,2,4.402,5,36.46153506,33.66911844,1.393848006,-1.577008143,1.098341885,-1.083628757,1.090985321,,
13,13,2,4.602,5,36.46387753,33.66127745,1.395366527,-1.584389247,1.100855245,-1.087259705,1.094057475,,
14,14,2,4.802,5,36.46316227,33.65707979,1.393286418,-1.592680253,1.101967803,-1.090142148,1.096054976,,
15,15,2,5.002,5,36.46540639,33.653166,1.397255436,-1.593925618,1.104118786,-1.092129311,1.098124049,,
16,16,2,5.202,5,36.46778685,33.64682481,1.396460924,-1.600375399,1.106496825,-1.095555927,1.101026376,,
17,17,2,5.402,5,36.46933806,33.64303619,1.396945585,-1.606811956,1.108161937,-1.098455786,1.103308861,,
18,18,2,5.602,5,36.46924865,33.6384675,1.399566792,-1.608934812,1.110415178,-1.09951116,1.104963169,,
19,19,2,5.802,5,36.46993932,33.63601998,1.396662183,-1.615098678,1.111309341,-1.101898699,1.10660402,,
20,20,2,6.002,5,36.46974933,33.63398821,1.397232618,-1.614908129,1.112598199,-1.104200463,1.108399331,,
21,21,2,6.202,5,36.47103008,33.63016829,1.395752747,-1.616673172,1.113858185,-1.104877441,1.109367813,,
22,22,2,6.402,5,36.4713743,33.62549678,1.396619808,-1.622907631,1.115304343,-1.108144335,1.111724339,,
23,23,2,6.602,5,36.47297245,33.62350747,1.396185532,-1.628633402,1.116732898,-1.108285057,1.112508978,,
24,24,2,6.802,5,36.47560549,33.6212343,1.397760864,-1.628946327,1.117278374,-1.111245546,1.11426196,,
25,25,2,7.002,5,36.47594747,33.61940369,1.398158539,-1.633612439,1.118065155,-1.113487891,1.115776523,,
26,26,2,7.202,5,36.47562337,33.61663431,1.396355033,-1.630993187,1.118187904,-1.114958822,1.116573363,,
27,27,2,7.402,5,36.47615757,33.6162901,1.397842634,-1.634457707,1.119426563,-1.114701777,1.11706417,,
28,28,2,7.602,5,36.47615087,33.61465395,1.398072671,-1.63794104,1.119679976,-1.11669518,1.118187578,,
29,29,2,7.802,5,36.47532832,33.61177057,1.396486256,-1.633328944,1.119647938,-1.117890998,1.118769468,,
30,30,2,8.002,5,36.47522998,33.61188233,1.397291385,-1.640113443,1.120203472,-1.117224823,1.118714147,,
31,31,2,8.202,5,36.47667614,33.60960692,1.395854633,-1.639116183,1.121818199,-1.119739766,1.120778983,,
32,32,2,8.402,5,36.47597429,33.60946611,1.395610441,-1.637121849,1.121280826,-1.118958573,1.1201197,,
33,33,2,8.602,5,36.47640121,33.60929847,1.396312565,-1.64382048,1.122370846,-1.119800302,1.121085574,,
34,34,2,8.802,5,36.47640344,33.60724882,1.394606102,-1.639272086,1.122863236,-1.119889616,1.121376426,,
35,35,2,9.002,5,36.47634309,33.60498905,1.394266821,-1.642798446,1.121843252,-1.120544615,1.121193934,,
36,36,2,9.202,5,36.4765152,33.60263765,1.395169273,-1.645492762,1.122647356,-1.122378948,1.122513152,,
37,37,2,9.402,5,36.47546691,33.60138148,1.393510867,-1.646779291,1.12258179,-1.122507378,1.122544584,,
38,38,2,9.602,5,36.47516963,33.60210792,1.394748129,-1.645429246,1.123183332,-1.121237985,1.122210658,,
39,39,2,9.802,5,36.4752948,33.60109985,1.392247528,-1.646843366,1.123268268,-1.121318731,1.1222935,,
40,40,2,10.002,5,36.47624251,33.60154018,1.393671706,-1.645271294,1.124322153,-1.121495682,1.122908918,,
41,41,2,10.202,5,36.47451919,33.60058353,1.39351869,-1.647293009,1.123189572,-1.121705882,1.122447727,,
42,42,2,10.402,5,36.47567701,33.60010967,1.391835138,-1.648083888,1.124448999,-1.122048049,1.123248524,,
43,43,2,10.602,5,36.47519198,33.59898091,1.394075714,-1.648009755,1.124374773,-1.121749002,1.123061887,,
44,44,2,10.802,5,36.47564572,33.59790132,1.391024608,-1.653867215,1.124505996,-1.123329643,1.123917819,,
45,45,2,11.002,5,36.47582453,33.59790802,1.392717566,-1.651611924,1.125301159,-1.122117806,1.123709482,,
46,46,2,11.202,5,36.47530374,33.59852493,1.392302103,-1.651386358,1.125534828,-1.122633013,1.124083921,,
47,47,2,11.402,5,36.47487458,33.59688208,1.389413513,-1.653107256,1.125550847,-1.123322006,1.124436426,,
48,48,2,11.602,5,36.4762671,33.59669432,1.393346023,-1.650402509,1.126832161,-1.121789328,1.124310744,,
49,49,2,11.802,5,36.47510034,33.59594777,1.391582005,-1.655667648,1.127113513,-1.123139932,1.125126723,,
50,50,2,12.002,5,36.4760704,33.59640599,1.391164865,-1.654223539,1.127203665,-1.121843997,1.124523831,,
51,51,2,12.202,5,36.47466224,33.59634117,1.392705087,-1.653441787,1.127372514,-1.121727581,1.124550048,,
52,52,2,12.402,5,36.47569713,33.59517888,1.389694493,-1.655643992,1.128798928,-1.1229478,1.125873364,,
53,53,2,12.602,5,36.47416603,33.59405235,1.39123071,-1.653967611,1.127881109,-1.122938114,1.125409612,,
54,54,2,12.802,5,36.47489694,33.59352261,1.391362213,-1.657756791,1.129051037,-1.123616024,1.12633353,,
55,55,2,13.002,5,36.47511375,33.59216586,1.389828417,-1.659761928,1.128428168,-1.12348983,1.125958999,,
56,56,2,13.202,5,36.47501093,33.59212563,1.390306838,-1.6558595,1.130419895,-1.122393756,1.126406825,,
57,57,2,13.402,5,36.47387099,33.59113544,1.387930941,-1.660476811,1.129330154,-1.123649831,1.126489993,,
58,58,2,13.602,5,36.47395146,33.5918507,1.387054566,-1.661106385,1.130288112,-1.122228167,1.12625814,,
59,59,2,13.802,5,36.4753015,33.59191105,1.389905438,-1.657867432,1.130989212,-1.122835483,1.126912347,,
60,60,2,14.002,5,36.47483882,33.59166295,1.386710908,-1.659259945,1.131065953,-1.122801024,1.126933488,,
61,61,2,14.202,5,36.47482988,33.59021902,1.388902776,-1.659899205,1.131188981,-1.121463645,1.126326313,,
62,62,2,14.402,5,36.47451472,33.59034419,1.387599856,-1.661277935,1.131860371,-1.122929267,1.127394819,,
63,63,2,14.602,5,36.47483659,33.59094769,1.388073806,-1.661670767,1.132475603,-1.121409348,1.126942476,,
64,64,2,14.802,5,36.47596758,33.59134108,1.388230361,-1.658185385,1.13308385,-1.121677011,1.12738043,,
65,65,2,15.002,5,36.4750914,33.5907957,1.387064997,-1.664669253,1.132522728,-1.122583467,1.127553097,,
