Total Cycles,Elapsed Cycles,Step,PC:Cycle Start Time (s),PC:Frequency (Hz),"Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",width,thickness
1,1,2,2.236,5,34.91029059,32.58945104,0.704262918,-1.699321344,0.541652887,-1.436468982,0.989060935,13,5
2,2,2,2.437,5,36.60730195,32.39526804,2.271982841,-1.916673221,1.930242994,-1.887958527,1.909100761,,
3,3,2,2.637,5,37.19744161,32.7783322,2.695599943,-1.619629376,1.893167601,-1.891858347,1.892512974,,
4,4,2,2.837,5,37.32923195,32.83083868,2.777822502,-1.59351863,1.895641938,-1.877750486,1.886696212,,
5,5,2,3.037,5,37.36880124,32.86846114,2.78833434,-1.62803717,1.89602732,-1.881689608,1.888858464,,
6,6,2,3.237,5,37.4058649,32.87326005,2.794189006,-1.652233489,1.894133568,-1.883111924,1.888622746,,
7,7,2,3.437,5,37.40592302,32.87472633,2.781218104,-1.669079997,1.898306452,-1.882562444,1.890434448,,
8,8,2,3.637,5,37.40229756,32.87575674,2.773714997,-1.666971482,1.898727969,-1.883388527,1.891058248,,
9,9,2,3.837,5,37.4010861,32.87449387,2.770236321,-1.658258587,1.900861443,-1.884415403,1.892638423,,
10,10,2,4.037,5,37.39817367,32.87256939,2.759847976,-1.604606025,1.901551553,-1.884549886,1.89305072,,
11,11,2,4.237,5,37.3946935,32.87351263,2.754690498,-1.57380905,1.901103587,-1.884008974,1.89255628,,
12,12,2,4.437,5,37.39261255,32.87239728,2.747708932,-1.537069958,1.90056789,-1.885359392,1.892963641,,
13,13,2,4.637,5,37.39008904,32.87104723,2.742340975,-1.569577679,1.900338226,-1.88679456,1.893566393,,
14,14,2,4.837,5,37.38905863,32.8693105,2.733201347,-1.628212631,1.901223541,-1.886763826,1.893993684,,
15,15,2,5.037,5,37.38693521,32.86926803,2.725447528,-1.633020863,1.900794946,-1.888616413,1.89470568,,
16,16,2,5.237,5,37.38500849,32.86790905,2.726464905,-1.650456525,1.900364116,-1.888166957,1.894265537,,
17,17,2,5.437,5,37.38242463,32.86742401,2.719150856,-1.656929404,1.899776824,-1.890432492,1.895104658,,
18,18,2,5.637,5,37.38125563,32.86815045,2.715571038,-1.665595174,1.899694868,-1.890736104,1.895215486,,
19,19,2,5.837,5,37.37925292,32.86665064,2.710604109,-1.662990823,1.899848536,-1.892373555,1.896111046,,
20,20,2,6.037,5,37.377657,32.86559788,2.705526724,-1.665923372,1.899393678,-1.893056773,1.896225226,,
21,21,2,6.237,5,37.37520725,32.86518437,2.697933279,-1.653851755,1.898703568,-1.895396069,1.897049819,,
22,22,2,6.437,5,37.37470657,32.86305872,2.690641209,-1.642192528,1.89806524,-1.894509823,1.896287531,,
23,23,2,6.637,5,37.37305925,32.86311683,2.682621963,-1.637935825,1.897296712,-1.89465455,1.895975631,,
24,24,2,6.837,5,37.37172485,32.86217583,2.680252865,-1.616744883,1.896867931,-1.894669265,1.895768598,,
25,25,2,7.037,5,37.36922816,32.86195231,2.676540241,-1.589966752,1.895735071,-1.89479667,1.89526587,,
26,26,2,7.237,5,37.36811057,32.86101353,2.679637447,-1.575559191,1.896200732,-1.893875219,1.895037976,,
27,27,2,7.437,5,37.36674265,32.85881189,2.676739916,-1.536305994,1.896672726,-1.893133514,1.89490312,,
28,28,2,7.637,5,37.36515567,32.85920528,2.670931444,-1.542553958,1.89471639,-1.89379792,1.894257155,,
29,29,2,7.837,5,37.36356646,32.85835815,2.670637891,-1.566374674,1.894903213,-1.895354346,1.89512878,,
30,30,2,8.037,5,37.36133799,32.85858837,2.667918056,-1.596173458,1.892434463,-1.896876686,1.894655575,,
31,31,2,8.237,5,37.35986725,32.85813463,2.668840252,-1.575132273,1.892040886,-1.897066303,1.894553595,,
32,32,2,8.437,5,37.35764772,32.85575864,2.662593871,-1.637442783,1.890778013,-1.899310232,1.895044122,,
33,33,2,8.637,5,37.35649214,32.85544572,2.664859965,-1.620933227,1.889982477,-1.899223246,1.894602862,,
34,34,2,8.837,5,37.3537004,32.85460306,2.659313194,-1.644028351,1.88883099,-1.900896274,1.894863632,,
35,35,2,9.037,5,37.35293821,32.85374028,2.662371658,-1.644684561,1.888416738,-1.901375347,1.894896042,,
36,36,2,9.237,5,37.35140041,32.8536911,2.660188451,-1.66396983,1.887122944,-1.900262789,1.893692866,,
37,37,2,9.437,5,37.35081256,32.8521533,2.656696551,-1.670368761,1.88797082,-1.901303821,1.894637321,,
38,38,2,9.637,5,37.34991178,32.85188732,2.652738057,-1.670000143,1.886694163,-1.902410232,1.894552198,,
39,39,2,9.837,5,37.34789566,32.85143805,2.651530504,-1.666206867,1.886748925,-1.903038316,1.894893621,,
40,40,2,10.037,5,37.34719381,32.85126594,2.649060637,-1.656496525,1.886099607,-1.904666268,1.895382938,,
41,41,2,10.237,5,37.34682501,32.8521466,2.643808909,-1.669178903,1.885608614,-1.905479313,1.895543963,,
42,42,2,10.437,5,37.34572977,32.85140229,2.645678073,-1.659024693,1.885005117,-1.906534315,1.895769716,,
43,43,2,10.637,5,37.34511957,32.85136205,2.644178085,-1.670066826,1.884746954,-1.907349222,1.896048088,,
44,44,2,10.837,5,37.34421879,32.85088149,2.643355541,-1.66887641,1.884659969,-1.907718585,1.896189277,,
45,45,2,11.037,5,37.34323979,32.85100219,2.639170177,-1.624933071,1.883742616,-1.907510713,1.895626665,,
46,46,2,11.237,5,37.34190986,32.85051045,2.636157162,-1.649972424,1.884212189,-1.907405288,1.895808738,,
