Total Cycles,Elapsed Cycles,Step,PC:Cycle Start Time (s),PC:Frequency (Hz),"Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",width,thickness
1,1,2,2.179,1,39.57949588,33.50191846,2.595424652,-2.921609022,2.504160295,-2.491815614,2.497987955,13,5
2,2,2,3.18,1,39.5648242,33.51234108,2.55351793,-2.897083387,2.491986233,-2.49309134,2.492538786,,
3,3,2,4.18,1,39.56626812,33.51922765,2.540596016,-2.882289886,2.490567456,-2.495188492,2.492877974,,
4,4,2,5.18,1,39.57002321,33.52031395,2.530387789,-2.875746973,2.492330263,-2.498638856,2.49548456,,
5,5,2,6.18,1,39.57853476,33.52271453,2.528372034,-2.869578078,2.500077563,-2.501791569,2.500934566,,
6,6,2,7.18,1,39.57667062,33.52380976,2.519132011,-2.863651887,2.496261562,-2.504197176,2.500229369,,
7,7,2,8.18,1,39.58110968,33.52605388,2.512936853,-2.858362161,2.499248872,-2.506735775,2.502992324,,
8,8,2,9.18,1,39.59692577,33.52734134,2.522482723,-2.854637802,2.513326931,-2.508674416,2.511000673,,
9,9,2,10.18,1,39.59308127,33.5290423,2.510130778,-2.850581147,2.50873756,-2.510259154,2.509498357,,
10,10,2,11.18,1,39.60053781,33.53027165,2.511625551,-2.845874988,2.515278238,-2.51202606,2.513652149,,
11,11,2,12.18,1,39.60097591,33.53253588,2.507671341,-2.842072956,2.516095008,-2.513917017,2.515006012,,
12,12,2,13.18,1,39.60199962,33.53370711,2.5016414,-2.838113159,2.516580786,-2.515744831,2.516162808,,
13,13,2,14.18,1,39.60330049,33.53541479,2.500388771,-2.834757045,2.516829449,-2.516864467,2.516846958,,
14,14,2,15.18,1,39.60310379,33.53771031,2.496012487,-2.83112023,2.516624185,-2.518375444,2.517499815,,
15,15,2,16.18,1,39.60452536,33.5401623,2.489775047,-2.828315832,2.517799887,-2.519416477,2.518608182,,
16,16,2,17.18,1,39.60388163,33.54337871,2.486784942,-2.824408561,2.517563331,-2.520461607,2.519012469,,
17,17,2,18.18,1,39.60471759,33.54447618,2.484622598,-2.822459117,2.51833279,-2.520857419,2.519595105,,
18,18,2,19.18,1,39.60480699,33.54578823,2.479974739,-2.819311619,2.518445852,-2.521671209,2.520058531,,
19,19,2,20.18,1,39.60597376,33.54703322,2.478121221,-2.815908566,2.519568096,-2.522418316,2.520993206,,
20,20,2,21.18,1,39.60354189,33.54934886,2.470006794,-2.813368849,2.518160123,-2.522244717,2.52020242,,
21,21,2,22.18,1,39.60558483,33.55009988,2.468100376,-2.80967243,2.519716735,-2.522646304,2.521181519,,
22,22,2,23.18,1,39.60260758,33.55276868,2.461656928,-2.806679718,2.517401095,-2.52316058,2.520280837,,
23,23,2,24.18,1,39.60085521,33.5560365,2.457759716,-2.804137208,2.515616494,-2.523479837,2.519548166,,
24,24,2,25.18,1,39.60128436,33.55768383,2.453741804,-2.801786736,2.516372542,-2.523650456,2.520011499,,
25,25,2,26.18,1,39.60308144,33.56012687,2.451843023,-2.797954157,2.518616657,-2.523529197,2.521072927,,
26,26,2,27.18,1,39.60262099,33.56223241,2.448364161,-2.797425538,2.517779398,-2.52345078,2.520615089,,
27,27,2,28.18,1,39.6010072,33.56406301,2.444317751,-2.792892419,2.517027448,-2.523818466,2.520422957,,
28,28,2,29.18,1,39.60311273,33.56635854,2.442123182,-2.79065147,2.51947664,-2.523725334,2.521600987,,
29,29,2,30.18,1,39.60546861,33.56728837,2.440564707,-2.788120881,2.521988231,-2.52353404,2.522761136,,
30,30,2,31.18,1,39.6024243,33.56926873,2.436474152,-2.785653062,2.520167309,-2.52378587,2.52197659,,
31,31,2,32.18,1,39.60127095,33.57105464,2.431781217,-2.782999724,2.519976388,-2.523906383,2.521941386,,
32,32,2,33.18,1,39.60025171,33.57153744,2.427621558,-2.7820535,2.518946904,-2.524049807,2.521498355,,
33,33,2,34.18,1,39.59916094,33.57398942,2.424042672,-2.778392099,2.518037933,-2.524388063,2.521212998,,
34,34,2,35.18,1,39.59879885,33.57469574,2.421426401,-2.777940966,2.519371773,-2.524749789,2.522060781,,
35,35,2,36.18,1,39.60098485,33.57587144,2.421155386,-2.775137872,2.522141154,-2.524585317,2.523363236,,
36,36,2,37.18,1,39.59534327,33.57857377,2.412803657,-2.771872468,2.517417672,-2.524573024,2.520995348,,
