Total Cycles,Elapsed Cycles,Step,PC:Cycle Start Time (s),PC:Frequency (Hz),"Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",width,thickness
1,1,2,2.214,1,40.35236997,32.8887744,2.967787161,-3.446582705,3.141764602,-3.117119198,3.1294419,13,5
2,2,2,3.215,1,40.32367927,32.92004225,2.893369645,-3.390749544,3.136313384,-3.117843581,3.127078483,,
3,3,2,4.215,1,40.31437201,32.94032646,2.858800255,-3.357369825,3.134768879,-3.122934004,3.128851441,,
4,4,2,5.215,1,40.30925346,32.95239863,2.835034765,-3.333647922,3.136324933,-3.123525394,3.129925163,,
5,5,2,6.215,1,40.30195338,32.96068219,2.811748907,-3.31806913,3.137232413,-3.129809772,3.133521093,,
6,6,2,7.215,1,40.29717458,32.9669608,2.791744098,-3.30238305,3.138627535,-3.13439486,3.136511197,,
7,7,2,8.215,1,40.29099208,32.96968771,2.774595469,-3.288892657,3.138743764,-3.139391219,3.139067491,,
8,8,2,9.215,1,40.28640551,32.97582103,2.757489309,-3.275296465,3.14019849,-3.135742297,3.137970393,,
9,9,2,10.215,1,40.28041971,32.98060206,2.740287967,-3.269448504,3.142317807,-3.143976307,3.143147057,,
10,10,2,11.215,1,40.27311069,32.98539875,2.72544641,-3.258823231,3.141871145,-3.146519935,3.14419554,,
11,11,2,12.215,1,40.26894879,32.98960982,2.709627151,-3.247248009,3.144709444,-3.147846883,3.146278163,,
12,12,2,13.215,1,40.26184988,32.99316374,2.697666921,-3.235887364,3.144868514,-3.146841055,3.145854784,,
13,13,2,14.215,1,40.25708449,32.99928812,2.684351243,-3.227101266,3.146139583,-3.145845657,3.14599262,,
14,14,2,15.215,1,40.25022698,33.00397752,2.670396119,-3.21864523,3.146588108,-3.143607875,3.145097991,,
15,15,2,16.215,1,40.24646294,33.00710005,2.657721192,-3.209131956,3.147476962,-3.14662238,3.147049671,,
16,16,2,17.215,1,40.24267209,33.01251365,2.646303177,-3.200865909,3.149242004,-3.151213428,3.150227716,,
17,17,2,18.215,1,40.23623031,33.01560266,2.633020841,-3.192551807,3.148694014,-3.154546073,3.151620044,,
18,18,2,19.215,1,40.23212206,33.02053792,2.620491758,-3.185014054,3.149184262,-3.156952983,3.153068623,,
19,19,2,20.215,1,40.22749078,33.02582411,2.609047852,-3.177342564,3.150152465,-3.156282803,3.153217634,,
20,20,2,21.215,1,40.22300702,33.03007094,2.596773021,-3.167216107,3.152246824,-3.156249648,3.154248236,,
21,21,2,22.215,1,40.21568459,33.03483633,2.583424747,-3.159543499,3.151384419,-3.155715442,3.15354993,,
22,22,2,23.215,1,40.21227372,33.03935585,2.573647536,-3.151613101,3.153524598,-3.154803863,3.154164231,,
23,23,2,24.215,1,40.20639968,33.04407654,2.561004087,-3.141850978,3.15239509,-3.153163245,3.152779168,,
24,24,2,25.215,1,40.20124984,33.04895816,2.549409494,-3.133523464,3.151628053,-3.151371008,3.15149953,,
25,25,2,26.215,1,40.19711923,33.05202259,2.53713429,-3.126052395,3.152151456,-3.149876049,3.151013753,,
26,26,2,27.215,1,40.19415986,33.0561666,2.527980134,-3.116266802,3.154378435,-3.1513006,3.152839517,,
27,27,2,28.215,1,40.18770915,33.06109739,2.516585588,-3.109391034,3.153860619,-3.153849444,3.153855032,,
28,28,2,29.215,1,40.18195581,33.06249438,2.505686693,-3.101844713,3.153315982,-3.155888668,3.154602325,,
29,29,2,30.215,1,40.177329,33.06635899,2.492722683,-3.092453815,3.152688643,-3.15701296,3.154850802,,
30,30,2,31.215,1,40.17460209,33.07218833,2.483016253,-3.084053285,3.15348213,-3.157885796,3.155683963,,
31,31,2,32.215,1,40.16909015,33.07686208,2.473293617,-3.075980581,3.153375587,-3.156921691,3.155148639,,
32,32,2,33.215,1,40.16507578,33.07954429,2.46182885,-3.0689504,3.155040791,-3.157747587,3.156394189,,
33,33,2,34.215,1,40.15888881,33.08296634,2.449701913,-3.060662933,3.153924694,-3.158159605,3.156042149,,
