Total Cycles,Elapsed Cycles,Step,PC:Cycle Start Time (s),PC:Frequency (Hz),"Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",width,thickness
1,1,2,2.201,3,37.93803307,35.86717987,0.655339612,-1.477801986,0.522110713,-1.195820999,0.858965856,13,5
2,2,2,2.535,3,38.79686749,35.87748403,1.460778248,-1.46720726,1.218660102,-1.19594114,1.207300621,,
3,3,2,2.868,3,38.80199945,35.8815364,1.459070854,-1.461585518,1.219389607,-1.196692158,1.208040883,,
4,4,2,3.202,3,38.80847252,35.87691629,1.458445005,-1.469435822,1.222761926,-1.203875263,1.213318595,,
5,5,2,3.535,3,38.81545073,35.87572942,1.470885053,-1.470227819,1.225503833,-1.209843923,1.217673878,,
6,6,2,3.868,3,38.82053799,35.87138424,1.473700907,-1.476024929,1.227902734,-1.214660817,1.221281775,,
7,7,2,4.202,3,38.82473117,35.86519504,1.474257,-1.479108445,1.230178979,-1.22100033,1.225589654,,
8,8,2,4.535,3,38.83010453,35.86105997,1.47760734,-1.485900395,1.232689359,-1.224976891,1.228833125,,
9,9,2,4.868,3,38.83402056,35.8577832,1.482677832,-1.490087248,1.235485562,-1.229357646,1.232421604,,
10,10,2,5.202,3,38.8362602,35.85496912,1.484305505,-1.492237207,1.23703072,-1.23247292,1.23475182,,
11,11,2,5.535,3,38.84059197,35.85139954,1.484328695,-1.494817156,1.238844377,-1.236303915,1.237574146,,
12,12,2,5.868,3,38.84193755,35.84808478,1.489318814,-1.49817057,1.241084394,-1.238812247,1.23994832,,
13,13,2,6.202,3,38.84377933,35.84525729,1.490353793,-1.502414793,1.24265805,-1.240967234,1.241812642,,
14,14,2,6.535,3,38.84670741,35.84360996,1.490940433,-1.502868906,1.243922507,-1.243646463,1.243784485,,
15,15,2,6.868,3,38.8474629,35.84236273,1.49202561,-1.506391447,1.245028359,-1.246187111,1.245607735,,
16,16,2,7.202,3,38.85095424,35.8412228,1.494822372,-1.508543734,1.246783995,-1.247963143,1.247373569,,
17,17,2,7.535,3,38.85280049,35.84005156,1.495452411,-1.510802191,1.247717739,-1.248959379,1.248338559,,
18,18,2,7.868,3,38.85546482,35.83832377,1.497383229,-1.508906763,1.249485203,-1.250744352,1.250114778,,
19,19,2,8.202,3,38.85614878,35.83817849,1.497303229,-1.510144863,1.249344853,-1.252380779,1.250862816,,
20,20,2,8.535,3,38.85888017,35.83628306,1.497767679,-1.514119562,1.251228919,-1.253193544,1.252211231,,
21,21,2,8.868,3,38.86029727,35.83589638,1.502859034,-1.51371602,1.251782404,-1.253914387,1.252848396,,
22,22,2,9.202,3,38.86169649,35.83553651,1.500612497,-1.513125096,1.252547765,-1.255649721,1.254098743,,
23,23,2,9.535,3,38.86245645,35.83474303,1.499690302,-1.512938365,1.253377573,-1.256531311,1.254954442,,
