"Total Cycles","Elapsed Cycles","Step","PC:Cycle Start Time (s)","PC:Frequency (Hz)","Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",
1,1,2,2.196,1,36.5179508630503,32.3389170588421,2.13227570056915,-2.03346759080887,1.86462032798113,-2.96643120326372,2.41552576562242,
2,2,2,3.197,1,38.1610677009498,33.7829290432536,3.09070665389299,-0.673841405659914,1.87778885686786,-1.86452347043182,1.87115616364984,
3,3,2,4.197,1,38.1466016530842,33.7790756028147,3.03465500473976,-0.719096325337887,1.87264069185753,-1.86474326256294,1.86869197721023,
4,4,2,5.197,1,38.1393149849689,33.7760737637722,3.00457440316677,-0.74707786552608,1.87064859283855,-1.86393897237464,1.86729378260659,
5,5,2,6.197,1,38.1337672824345,33.7716011800609,2.98297703266144,-0.771663105115294,1.87045301509475,-1.86482670906696,1.86763986208086,
6,6,2,7.197,1,38.128501211858,33.7682685352266,2.96519212424755,-0.789449829608202,1.87061338884467,-1.86465627703308,1.86763483293887,
7,7,2,8.197,1,38.1250188103477,33.7663932240154,2.95133907347918,-0.804771389812231,1.8696826250487,-1.86490810666129,1.86729536585499,
8,8,2,9.197,1,38.1219432105542,33.7642876898544,2.93925385922194,-0.819141045212746,1.87007564318148,-1.86503960941093,1.8675576262962,
9,9,2,10.197,1,38.1188407886696,33.7617105339229,2.92818229645491,-0.830598175525665,1.86982101958551,-1.86525977407109,1.8675403968283,
10,10,2,11.197,1,38.1165922033555,33.7599291000309,2.91779059916735,-0.842475425451994,1.87017101061465,-1.86530335996828,1.86773718529146,
11,11,2,12.197,1,38.1140351639923,33.7588271591165,2.90853530168533,-0.852812919765711,1.86982940148881,-1.86575803165648,1.86779371657265,
12,12,2,13.197,1,38.1113618955672,33.7571261914982,2.90085691958666,-0.860016234219074,1.86962488304815,-1.86567570273957,1.86765029289386,
13,13,2,14.197,1,38.1102621898271,33.7555816860787,2.89204679429531,-0.867826025933027,1.86945780377559,-1.86615999048612,1.86780889713085,
14,14,2,15.197,1,38.1081745370604,33.7543366940112,2.88528520613909,-0.87730884552002,1.86942129593008,-1.8659871370135,1.86770421647179,
15,15,2,16.197,1,38.1057605488504,33.7523429185637,2.87816915661097,-0.88364202529192,1.86913873265643,-1.86644162243719,1.86779017754681,
16,16,2,17.197,1,38.102626834526,33.7517103642457,2.87121459841728,-0.890217442065477,1.8689470664675,-1.86684972799591,1.86789839723171,
17,17,2,18.197,1,38.1012589078737,33.7512923866575,2.86587085574865,-0.896751973778009,1.86907596151389,-1.86657349771586,1.86782472961488,
18,18,2,19.197,1,38.0996674637945,33.7491935580194,2.85942945629358,-0.901301018893719,1.86907577524937,-1.86685568846048,1.86796573185493,
19,19,2,20.197,1,38.0965113977274,33.7479731528688,2.85365525633097,-0.907423347234726,1.86867176751004,-1.86725913740626,1.86796545245815,
20,20,2,21.197,1,38.0956307390656,33.746576168951,2.84830220043659,-0.914664287120104,1.86883661160839,-1.86680837727294,1.86782249444066,
21,21,2,22.197,1,38.0935073235106,33.7447746184906,2.84312888979912,-0.917537044733763,1.86883642534387,-1.86757858105447,1.86820750319917,
22,22,2,23.197,1,38.0927026607739,33.7452060071244,2.83782817423344,-0.921972002834082,1.86895582089984,-1.86743888266604,1.86819735178294,
23,23,2,24.197,1,38.0922958590571,33.7439252522686,2.83341240137815,-0.928353890776634,1.86858683088988,-1.86761713780967,1.86810198434978,
24,24,2,25.197,1,38.0895912981922,33.7432636406851,2.82943919301033,-0.930783152580261,1.86876471350448,-1.86793211110945,1.86834841230696,
25,25,2,26.197,1,38.0888447499865,33.7429417755904,2.82443184405565,-0.936034601181746,1.86861663321274,-1.86736754335568,1.86799208828421,
26,26,2,27.197,1,38.0866542792034,33.7422980454011,2.82001253217459,-0.941149331629276,1.86861979970955,-1.86797457941953,1.86829718956454,
27,27,2,28.197,1,38.0856484507826,33.7409770574084,2.81702484935522,-0.944261625409126,1.86903796355224,-1.86781476446317,1.8684263640077,
28,28,2,29.197,1,38.0840882991432,33.7409301187488,2.81200855970383,-0.948962476104498,1.86891298006073,-1.86747390039541,1.86819344022807,
29,29,2,30.197,1,38.0828678939926,33.7407133068447,2.80810240656137,-0.951948575675488,1.86813532569848,-1.86772610255265,1.86793071412556,
30,30,2,31.197,1,38.0819291207998,33.7399444068964,2.80547440052032,-0.955866556614637,1.86857025334778,-1.86811502286603,1.86834263810691,
31,31,2,32.197,1,38.0799979302319,33.7390793944545,2.79985293745995,-0.959744025021791,1.86843353519164,-1.86823479095104,1.86833416307134,
32,32,2,33.197,1,38.0794570180589,33.7389899874837,2.79632229357958,-0.962871871888638,1.86807981887214,-1.8680980727949,1.86808894583352,
33,33,2,34.197,1,38.0788043471725,33.737385132359,2.79364455491304,-0.966108124703169,1.86838864544283,-1.8679378853095,1.86816326537617,
34,34,2,35.197,1,38.0769536228782,33.7363591873697,2.78881210833788,-0.969678349792957,1.86832959959065,-1.86798910805193,1.86815935382129,
35,35,2,36.197,1,38.0768239827706,33.7369157457626,2.7865793555975,-0.972415041178465,1.86840205648812,-1.86840969333335,1.86840587491073,
36,36,2,37.197,1,38.0750805468412,33.7358898007734,2.78335846960545,-0.975300092250109,1.86824857452537,-1.86783096947623,1.8680397720008,
37,37,2,38.197,1,38.0743116468928,33.735087373211,2.7789494022727,-0.978380627930164,1.86842198679153,-1.86794440456763,1.86818319567958,
38,38,2,39.197,1,38.0737170905374,33.7346470438801,2.77558974921703,-0.981253199279308,1.86844024071429,-1.86799748995523,1.86821886533476,
39,39,2,40.197,1,38.0735919207784,33.7329550169588,2.77367867529392,-0.983142107725143,1.86840205648812,-1.86802449831033,1.86821327739922,
40,40,2,41.197,1,38.0726084441003,33.7325929187273,2.77003478258848,-0.987664610147476,1.86858683088988,-1.86809248485936,1.86833965787462,
41,41,2,42.197,1,38.0703822105288,33.7317457876796,2.76730135083199,-0.990997161716223,1.86890795091874,-1.86841993788184,1.86866394440029,
42,42,2,43.197,1,38.0697295396425,33.7307913682669,2.76471208781004,-0.990844424813986,1.86810868987242,-1.86813830593077,1.86812349790159,
43,43,2,44.197,1,38.068227502534,33.7313635728797,2.76134815067053,-0.994833558797836,1.86858776221247,-1.86796936401303,1.86827856311275,
44,44,2,45.197,1,38.0662158456924,33.7305857322342,2.75858547538519,-0.997720565646887,1.86830557146784,-1.86814296254371,1.86822426700578,
45,45,2,46.197,1,38.065505060275,33.7291462800053,2.7565436437726,-0.999024230986834,1.86862725029026,-1.86832270780349,1.86847497904688,
