"Total Cycles","Elapsed Cycles","Step","PC:Cycle Start Time (s)","PC:Frequency (Hz)","Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",
1,1,2,2.179,1,39.5794958806842,33.5019184638712,2.59542465209961,-2.92160902172327,2.50416029526027,-2.49181561433623,2.49798795479825,
2,2,2,3.18,1,39.5648241967859,33.5123410814852,2.55351793020964,-2.89708338677883,2.49198623263463,-2.49309134001935,2.49253878632699,
3,3,2,4.18,1,39.5662681193633,33.5192276534064,2.54059601575136,-2.88228988647461,2.49056745580176,-2.49518849222642,2.49287797401409,
4,4,2,5.18,1,39.5700232121344,33.5203139481009,2.530387789011,-2.87574697285891,2.4923302631992,-2.49863885615607,2.49548455967763,
5,5,2,6.18,1,39.5785347557487,33.5227145252652,2.5283720344305,-2.86957807838917,2.50007756329235,-2.5017915693861,2.50093456633922,
6,6,2,7.18,1,39.5766706204088,33.5238097606568,2.51913201063871,-2.86365188658237,2.49626156211407,-2.50419717563482,2.50022936887444,
7,7,2,8.18,1,39.581109676506,33.5260538756223,2.51293685287237,-2.85836216062307,2.4992488724522,-2.50673577474932,2.50299232360076,
8,8,2,9.18,1,39.5969257696298,33.527341336001,2.52248272299767,-2.85463780164719,2.51332693097985,-2.50867441585166,2.51100067341576,
9,9,2,10.18,1,39.593081269888,33.5290423036193,2.51013077795506,-2.85058114677668,2.50873755952323,-2.51025915436998,2.50949835694661,
10,10,2,11.18,1,39.6005378112477,33.530271649467,2.51162555068731,-2.84587498754263,2.51527823806941,-2.51202605958681,2.51365214882811,
11,11,2,12.18,1,39.6009759054043,33.5325358810009,2.50767134130001,-2.84207295626402,2.51609500798041,-2.51391701697257,2.51500601247649,
12,12,2,13.18,1,39.6019996152193,33.5337071123176,2.50164140015841,-2.83811315894127,2.5165807858431,-2.51574483068675,2.51616280826493,
13,13,2,14.18,1,39.6033004866436,33.5354147854587,2.50038877129555,-2.83475704491138,2.51682944897451,-2.51686446670387,2.51684695783919,
14,14,2,15.18,1,39.6031037913079,33.5377103094325,2.49601248651743,-2.83112023025751,2.51662418547578,-2.5183754444731,2.51749981497444,
15,15,2,16.18,1,39.6045253621427,33.540162295605,2.4897750467062,-2.82831583172083,2.51779988711278,-2.51941647686366,2.51860818198822,
16,16,2,17.18,1,39.6038816319534,33.5433787113774,2.48678494244814,-2.82440856099129,2.51756333117504,-2.52046160707362,2.51901246912433,
17,17,2,18.18,1,39.6047175871298,33.5444761819432,2.4846225976944,-2.8224591165781,2.5183327898985,-2.52085741917416,2.51959510453633,
18,18,2,19.18,1,39.6048069941005,33.5457882292388,2.47997473925352,-2.81931161880493,2.51844585246087,-2.52167120885288,2.52005853065688,
19,19,2,20.18,1,39.6059737550687,33.5470332213063,2.47812122106552,-2.81590856611729,2.51956809618124,-2.52241831583419,2.52099320600772,
20,20,2,21.18,1,39.6035418854646,33.5493488618485,2.47000679373741,-2.81336884945631,2.51816012269041,-2.52224471730351,2.52020241999696,
21,21,2,22.18,1,39.6055848347459,33.5500998804027,2.46810037642717,-2.80967243015766,2.51971673526652,-2.52264630360411,2.52118151943532,
