"Total Cycles","Elapsed Cycles","Step","PC:Cycle Start Time (s)","PC:Frequency (Hz)","Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",
1,1,2,2.206,3,33.7270139237532,31.0787570987105,0.80765513703227,-2.07047536969185,0.620838031792935,-1.42431000663849,1.02257401921571,
2,2,2,2.54,3,34.7300506119097,31.0806100581791,1.7747912555933,-2.06513665616512,1.44485898765036,-1.42404560415532,1.43445229590284,
3,3,2,2.873,3,34.7366667277444,31.0816561197368,1.77076272666454,-2.06443406641483,1.44844327576837,-1.42602755175807,1.43723541376322,
4,4,2,3.207,3,34.7433476636329,31.0702164978307,1.77106149494648,-2.07648500800133,1.45436695309899,-1.44042673031459,1.44739684170679,
5,5,2,3.54,3,34.7540340318105,31.0630214718604,1.77713055163622,-2.0812138915062,1.4619723196295,-1.45044059019385,1.45620645491168,
6,6,2,3.873,3,34.7590274111263,31.0558689142013,1.77739821374416,-2.09009312093258,1.46701943613887,-1.4603133547008,1.46366639541983,
7,7,2,4.207,3,34.7622505324215,31.0489018760064,1.77817363291979,-2.09740810096264,1.47043040512297,-1.4691577528044,1.46979407896369,
8,8,2,4.54,3,34.7695729633251,31.0439196725619,1.78261008113623,-2.10075750946999,1.47562504313052,-1.47493483995943,1.47527994154498,
9,9,2,4.873,3,34.7744992874128,31.0410832364152,1.78711824119091,-2.10548490285873,1.47969771681448,-1.48049502208336,1.48009636944892,
10,10,2,5.207,3,34.7793317341813,31.0370912151717,1.78889036178589,-2.10952926427126,1.48360610519364,-1.48558861158995,1.4845973583918,
11,11,2,5.54,3,34.7825615609992,31.0357746975276,1.79141629487276,-2.1098155528307,1.48562493317094,-1.48931334315446,1.4874691381627,
12,12,2,5.873,3,34.7859858479785,31.0349856810108,1.79116688668728,-2.11018566042185,1.48977062254591,-1.49297865633776,1.49137463944184,
13,13,2,6.207,3,34.787796339136,31.03304778492,1.79189071059227,-2.11089532822371,1.49231145683463,-1.49686636935544,1.49458891309504,
14,14,2,6.54,3,34.7905478386605,31.0321738317811,1.79594568908215,-2.11310982704163,1.49347644826186,-1.50044544206695,1.49696094516441,
15,15,2,6.873,3,34.7928903012939,31.0341251389174,1.79450809955597,-2.11193468421698,1.49668383012789,-1.4997857862768,1.49823480820235,
16,16,2,7.207,3,34.7926064341618,31.0317357376244,1.79411321878433,-2.1143140271306,1.49838237626666,-1.50488123842856,1.50163180734761,
17,17,2,7.54,3,34.7956932098266,31.0313669338701,1.79902836680412,-2.11331453174353,1.49958881154911,-1.50566410819731,1.50262645987321,
18,18,2,7.873,3,34.794714203497,31.0313378766046,1.79731361567974,-2.11310125887394,1.50116991790934,-1.50695240673539,1.50406116232236,
19,19,2,8.207,3,34.7959591955645,31.032623101809,1.79422944784164,-2.11334209889174,1.50208205525351,-1.50764922229686,1.50486563877519,
20,20,2,8.54,3,34.7976311059173,31.0327370956967,1.79656893014908,-2.11185477674007,1.50228545610706,-1.50857607453795,1.50543076532251,
21,21,2,8.873,3,34.79895209391,31.0338099793456,1.79579649120569,-2.11183931678534,1.50415238537001,-1.50754407597651,1.50584823067326,
22,22,2,9.207,3,34.7990236194866,31.034887333343,1.79465170949697,-2.11023986339569,1.50468091093956,-1.50710253593682,1.50589172343819,
23,23,2,9.54,3,34.803306213385,31.0368542866993,1.80052034556866,-2.10765637457371,1.50576897512089,-1.50694570121274,1.50635733816682,
24,24,2,9.873,3,34.8009235176148,31.0371917980138,1.79693531244993,-2.10675448179245,1.5058066005535,-1.50665345218415,1.50623002636883,
25,25,2,10.207,3,34.8042181644866,31.0387653606988,1.79751683026552,-2.10710763931274,1.5081078986722,-1.50649978395688,1.50730384131454,
26,26,2,10.54,3,34.8029239985851,31.0396035510495,1.79915502667427,-2.1028358489275,1.507517998944,-1.50523718992227,1.50637759443314,
27,27,2,10.873,3,34.8034827921522,31.041472156738,1.79954692721367,-2.10315529257059,1.50814086749187,-1.5058746802348,1.50700777386333,
28,28,2,11.207,3,34.8057224367692,31.0410787660667,1.79620292037725,-2.10434049367905,1.50987247558256,-1.50573386425926,1.50780316992091,
29,29,2,11.54,3,34.80544527516,31.0405758518563,1.79792754352093,-2.10258718580008,1.50898138612891,-1.50684558403437,1.50791348508164,
30,30,2,11.873,3,34.807052365459,31.0429071386183,1.79770961403847,-2.10249982774258,1.50942739651703,-1.50592906947403,1.50767823299553,
31,31,2,12.207,3,34.8080470180085,31.0428177316476,1.79877020418644,-2.10392139852047,1.51162634228314,-1.5056155862904,1.50862096428677,
32,32,2,12.54,3,34.8066589747877,31.0433497031235,1.79622322320938,-2.10124459117651,1.50990991475066,-1.50609493802722,1.50800242638894,
33,33,2,12.873,3,34.8071529483011,31.0438034435,1.7969686537981,-2.09889113903046,1.51061716112514,-1.50607379700444,1.50834547906479,
34,34,2,13.207,3,34.806694737576,31.0448919733687,1.79705433547497,-2.10036374628544,1.51087001520819,-1.50542103300145,1.50814552410482,
35,35,2,13.54,3,34.8047009621285,31.0450573762646,1.79571453481913,-2.09789574146271,1.50975019292655,-1.50588818441235,1.50781918866945,
36,36,2,13.873,3,34.8059124265821,31.045077492833,1.79488398134708,-2.09709070622921,1.50979247497212,-1.50589516933177,1.50784382215194,
37,37,2,14.207,3,34.8066723858334,31.0472232601308,1.79224330931902,-2.09663547575474,1.51155509610504,-1.50456766211267,1.50806137910885,
38,38,2,14.54,3,34.8089522635872,31.0472545525705,1.79852209985256,-2.09582950919867,1.51210113053927,-1.5048691312349,1.50848513088708,
39,39,2,14.873,3,34.8078838502869,31.0472903153588,1.79808661341667,-2.09848638623953,1.51177600582327,-1.50722724003155,1.50950162292741,
40,40,2,15.207,3,34.805787256823,31.0469706854384,1.79147273302078,-2.09696870297194,1.51177982424589,-1.50706928772037,1.50942455598313,
41,41,2,15.54,3,34.8058364306569,31.0469885668326,1.79348159581423,-2.09698285907507,1.51165316437371,-1.50592702056433,1.50879009246902,
42,42,2,15.873,3,34.8077497398308,31.0473059615787,1.79113000631332,-2.09489054977894,1.51133018169967,-1.50663203176459,1.50898110673213,
43,43,2,16.207,3,34.8059280728019,31.0478111109634,1.79327186197042,-2.09662280976772,1.51217246984963,-1.50713764679844,1.50965505832404,
44,44,2,16.54,3,34.8042181644866,31.0495545468928,1.7877658829093,-2.09535285830498,1.5113326031384,-1.50419559873816,1.50776410093828,
45,45,2,16.873,3,34.8061873530171,31.0502250991733,1.79403088986874,-2.09293868392706,1.51170466651291,-1.50446717240526,1.50808591945909,
46,46,2,17.207,3,34.8058163140885,31.0511348151006,1.79033577442169,-2.09218487143517,1.51311077735857,-1.50428314306157,1.50869696021007,
47,47,2,17.54,3,34.80636169661,31.0509202383708,1.79328192025423,-2.09197103977203,1.5118376593787,-1.5029408278133,1.507389243596,
48,48,2,17.873,3,34.8057112608979,31.0519975923682,1.79198402911425,-2.09044050425291,1.51151951958212,-1.50447294660532,1.50799623309372,
49,49,2,18.207,3,34.8067729686754,31.052004297891,1.78951676934958,-2.08929590880871,1.51321005634661,-1.50522694537379,1.5092185008602,
50,50,2,18.54,3,34.8041824016983,31.052578737678,1.7878508195281,-2.09057237952948,1.51155286093082,-1.50450032748945,1.50802659421014,
51,51,2,18.873,3,34.8062007640627,31.0515840851286,1.78760550916195,-2.09074821323156,1.51232595181238,-1.50551621417009,1.50892108299124,
52,52,2,19.207,3,34.8042941604117,31.0521004103846,1.78771335631609,-2.09191925823689,1.5130637455678,-1.50658546563512,1.50982460560146,
53,53,2,19.54,3,34.8048887167671,31.0508151851802,1.78920552134514,-2.09171287715435,1.51258178612772,-1.50613545055986,1.50935861834379,
54,54,2,19.873,3,34.8038426552095,31.0524759196617,1.79050620645285,-2.09127236157656,1.51180739139454,-1.50494363704206,1.5083755142183,
55,55,2,20.207,3,34.8028860006225,31.0523552202512,1.78234837949276,-2.09010802209377,1.51224557867291,-1.50633540551983,1.50929049209637,
56,56,2,20.54,3,34.8057112608979,31.0531911754276,1.78651418536901,-2.08963993936777,1.5132942479087,-1.5051994713574,1.50924685963305,
57,57,2,20.873,3,34.804788133925,31.0538885497994,1.78920943289995,-2.08842288702726,1.51216539179795,-1.50395140595519,1.50805839887657,
58,58,2,21.207,3,34.8036526653966,31.0557705665334,1.78614836186171,-2.08601057529449,1.51316712237523,-1.50389953128695,1.50853332683109,
59,59,2,21.54,3,34.804604849635,31.0554799938785,1.78698319941759,-2.08658054471016,1.51240911891962,-1.50435988404295,1.50838450148129,
60,60,2,21.873,3,34.8031989250201,31.0564858222994,1.78613178431988,-2.08549499511719,1.51155444417922,-1.50331019035231,1.50743231726577,
61,61,2,22.207,3,34.8024456712917,31.0568926240162,1.78528912365437,-2.08525694906712,1.51281107774926,-1.5043291503975,1.50857011407338,
62,62,2,22.54,3,34.803330800302,31.0566199327555,1.78506560623646,-2.08400711417198,1.51204357480324,-1.50538201058494,1.50871279269409,
