"Total Cycles","Elapsed Cycles","Step","PC:Cycle Start Time (s)","PC:Frequency (Hz)","Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",
1,1,2,3.217,5,32.7844722271732,30.8777925802311,0.572943314909935,-1.67156662791967,0.429254963411525,-1.14386400175414,0.786559482582834,
2,2,2,3.418,5,34.0559444042776,30.4735054344191,1.80091541260481,-1.73858646303415,1.50877807840762,-1.49985116512258,1.5043146217651,
3,3,2,3.618,5,34.059020004071,30.4816727611961,1.79673060774803,-1.72012969851494,1.50400449134279,-1.49169827404169,1.49785138269224,
4,4,2,3.818,5,34.0643263077844,30.4807362231776,1.79982576519251,-1.69671177864075,1.51511358658732,-1.48402734240088,1.4995704644941,
5,5,2,4.018,5,34.0663849032857,30.4266114782663,1.81799791753292,-1.69957373291254,1.50934357748397,-1.49294168283096,1.50114263015746,
6,6,2,4.218,5,34.0718409636751,30.3880949552717,1.82316638529301,-1.7475463449955,1.5274872316439,-1.48538958795257,1.50643840979823,
7,7,2,4.418,5,34.0720890680189,30.3729695309969,1.81874800473452,-1.75431407988071,1.51906379135076,-1.47705182933766,1.49805781034421,
8,8,2,4.618,5,34.0676455415731,30.3664696442242,1.81910861283541,-1.7583416774869,1.51530311073429,-1.49561672070483,1.50545991571956,
9,9,2,4.818,5,34.067544958731,30.3706695366746,1.82969998568296,-1.74973681569099,1.51424401068549,-1.50184978339968,1.50804689704259,
10,10,2,5.018,5,34.0655578888063,30.3767961493446,1.83041673153639,-1.74220390617847,1.50744209615296,-1.50115930083182,1.50430069849239,
11,11,2,5.218,5,34.0682780958911,30.3806406490864,1.82833168655634,-1.73030905425549,1.50369193948175,-1.49892654805571,1.50130924376873,
12,12,2,5.418,5,34.0687698342302,30.3792257837744,1.83150097727776,-1.73483174294233,1.50346236846343,-1.49296720106991,1.49821478476667,
13,13,2,5.618,5,34.0712821701079,30.3818901115024,1.8350999802351,-1.72498393803835,1.50440998919827,-1.48925904704749,1.49683451812288,
14,14,2,5.818,5,34.0738727370851,30.3858798975717,1.84090286493301,-1.72573439776897,1.50404090605604,-1.48690913388962,1.49547501997283,
15,15,2,6.018,5,34.0767181139289,30.3883743520553,1.83642227202654,-1.72585509717464,1.50602751027174,-1.48976484834586,1.4978961793088,
16,16,2,6.218,5,34.0781799179005,30.3908263382278,1.85684766620398,-1.72494314610958,1.50375499002106,-1.49134064616732,1.49754781809419,
17,17,2,6.418,5,34.0791477483587,30.39369183164,1.85669828206301,-1.7203776165843,1.50456803464171,-1.49337279205765,1.49897041334968,
18,18,2,6.618,5,34.0816220862739,30.3977687895057,1.85887832194567,-1.71712208539248,1.5046912486203,-1.49369335329296,1.49919230095663,
19,19,2,6.818,5,34.0846060439224,30.403240496115,1.85924023389816,-1.7129072919488,1.50545428121789,-1.49108807148104,1.49827117634947,
20,20,2,7.018,5,34.0859203263922,30.406570905775,1.86163876205683,-1.71050392091274,1.50609335477882,-1.48986133336613,1.49797734407247,
21,21,2,7.218,5,34.0863628908974,30.413097614639,1.8611241132021,-1.70066598802805,1.50683934417302,-1.48844861013009,1.49764397715156,
22,22,2,7.418,5,34.0886382983027,30.4159340507857,1.86631493270397,-1.69677399098873,1.50622178416391,-1.48502516142329,1.4956234727936,
23,23,2,7.618,5,34.0892395601809,30.4203775772315,1.86684895306826,-1.6884995624423,1.50674667757536,-1.48220306771254,1.49447487264395,
24,24,2,7.818,5,34.0901023374486,30.4241594920937,1.86893884092569,-1.68612729758024,1.50728880045472,-1.47952607406123,1.49340743725798,
25,25,2,8.018,5,34.0906700717128,30.4275100183222,1.86812058091164,-1.68210826814175,1.50697727304853,-1.47692703211067,1.4919521525796,
26,26,2,8.218,5,34.092053644585,30.4310147715752,1.86716578900814,-1.67777817696333,1.50845248803032,-1.47412421677752,1.49128835240392,
27,27,2,8.418,5,34.0916937815277,30.4352124288514,1.87238845974207,-1.66918151080608,1.50857113852823,-1.4714247782518,1.48999795839001,
28,28,2,8.618,5,34.0929164218526,30.4371033862825,1.86862740665674,-1.66561454534531,1.50847912385638,-1.47135157629627,1.48991535007632,
29,29,2,8.818,5,34.0927644300023,30.439512904144,1.86553206294775,-1.66420619934797,1.50805881797173,-1.46883542205617,1.48844712001395,
30,30,2,9.018,5,34.0955963958005,30.4414820926745,1.86832379549742,-1.66115928441286,1.50926730216389,-1.46659540496386,1.48793135356388,
31,31,2,9.218,5,34.09510912781,30.4429282504262,1.86876840889454,-1.66519954800606,1.50864005639985,-1.46266075328767,1.48565040484376,
32,32,2,9.418,5,34.0962624777325,30.4426421481198,1.86910815536976,-1.66459195315838,1.50916513607582,-1.46431496847117,1.4867400522735,
33,33,2,9.618,5,34.0967877436856,30.4440078395979,1.86664182692766,-1.65972355753183,1.50847679554991,-1.46448074389211,1.48647876972101,
34,34,2,9.818,5,34.0964703489395,30.4452014226573,1.86489652842283,-1.65615435689688,1.50826994880278,-1.46364516126479,1.48595755503378,
35,35,2,10.018,5,34.0976102878164,30.446564878961,1.86917185783386,-1.65696274489164,1.50854347824732,-1.46222740888677,1.48538544356704,
36,36,2,10.218,5,34.0976080526421,30.4472197850217,1.86774265021086,-1.6572043299675,1.50886627465684,-1.46194270357116,1.485404489114,
37,37,2,10.418,5,34.0979120363426,30.4482323189653,1.87065675854683,-1.65683254599571,1.50859814688332,-1.45999642562358,1.48429728625345,
38,38,2,10.618,5,34.0978338052433,30.4491554459382,1.86704136431217,-1.65464896708727,1.50817886545352,-1.46106679467571,1.48462283006462,
39,39,2,10.818,5,34.0992643167751,30.4497790595591,1.86597667634487,-1.65404491126537,1.5090957525429,-1.45827515521364,1.48368545387827,
40,40,2,11.018,5,34.0981489648151,30.4493432005767,1.86804234981537,-1.65508762001991,1.50778817562722,-1.46164449407799,1.48471633485261,
41,41,2,11.218,5,34.0991458525388,30.4507066568805,1.8685594201088,-1.65128316730261,1.50812345175945,-1.45980000968945,1.48396173072445,
42,42,2,11.418,5,34.0988463391869,30.4511201641202,1.87071505934,-1.65637750178576,1.50814794554355,-1.46011889454411,1.48413342004383,
43,43,2,11.618,5,34.0991167952734,30.4511693379541,1.86844598501921,-1.64964385330677,1.50799381165498,-1.45853685686129,1.48326533425814,
44,44,2,11.818,5,34.099613003961,30.4515739044967,1.86607204377651,-1.64948832243681,1.50737578598458,-1.46008294549215,1.48372936573837,
45,45,2,12.018,5,34.0999169876615,30.4526758454111,1.87019426375628,-1.65390707552433,1.50775241283978,-1.45860074559093,1.48317657921536,
46,46,2,12.218,5,34.1002053251421,30.4521304628895,1.86848510056734,-1.65328197181225,1.50869127914227,-1.45893546292961,1.48381337103594,
47,47,2,12.418,5,34.1002030899678,30.4527697227303,1.86909455806017,-1.65174398571253,1.50779879270474,-1.45801913463378,1.48290896366926,
48,48,2,12.618,5,34.1005003681456,30.4516878983844,1.86679437756538,-1.64853632450104,1.5085734668347,-1.46148728682488,1.48503037682979,
49,49,2,12.818,5,34.1003193190298,30.453149702356,1.86675619333982,-1.64709780365229,1.50882296815643,-1.45785224162574,1.48333760489109,
50,50,2,13.018,5,34.1003036728099,30.454265054316,1.86804700642824,-1.64798349142075,1.50786594106344,-1.45830691331394,1.48308642718869,
51,51,2,13.218,5,34.1014413765126,30.4542382322247,1.87285169959068,-1.6456201672554,1.50841402440737,-1.45834537693689,1.48337970067213,
52,52,2,13.418,5,34.1011440983349,30.4569025599528,1.86753738671541,-1.64335388690233,1.50946884037226,-1.45787049554849,1.48366966796038,
53,53,2,13.618,5,34.101161979729,30.4564555250991,1.86631996184587,-1.64413936436176,1.50926888541229,-1.45686550534215,1.48306719537722,
54,54,2,13.818,5,34.1018571189265,30.4567639791481,1.86478663235903,-1.6426170244813,1.50828587441906,-1.45627877211075,1.4822823232649,
55,55,2,14.018,5,34.1021901598925,30.458261545908,1.86495017260313,-1.63830537348986,1.50885221168574,-1.4565003337548,1.48267627272027,
56,56,2,14.218,5,34.1020381680423,30.4604967201765,1.86707302927971,-1.63457710295916,1.50924262211527,-1.45544598345121,1.48234430278324,
57,57,2,14.418,5,34.1022393337264,30.4603201414093,1.86835415661335,-1.63749158382416,1.50921291292466,-1.4536538393922,1.48143337615843,
58,58,2,14.618,5,34.1017922988727,30.4623206223796,1.86513047665358,-1.63683146238327,1.50899200320643,-1.45709852225404,1.48304526273024,
59,59,2,14.818,5,34.1011798611232,30.4637757208284,1.86206214129925,-1.63673423230648,1.50899880186133,-1.45396862642746,1.48148371414439,
60,60,2,15.018,5,34.1019867590341,30.4655236271063,1.8661106005311,-1.63255352526903,1.50901333049373,-1.45271162032838,1.48086247541106,
