"Total Cycles","Elapsed Cycles","Step","PC:Cycle Start Time (s)","PC:Frequency (Hz)","Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",
1,1,2,2.201,3,37.9380330717434,35.8671798747811,0.655339611694217,-1.47780198603868,0.522110712686361,-1.19582099890713,0.858965855796748,
2,2,2,2.535,3,38.7968674919686,35.8774840281588,1.46077824756503,-1.46720726042986,1.21866010216663,-1.19594113952118,1.2073006208439,
3,3,2,2.868,3,38.8019994520891,35.8815363991076,1.45907085388899,-1.46158551797271,1.219389607151,-1.19669215805737,1.20804088260418,
4,4,2,3.202,3,38.8084725167706,35.8769162938946,1.45844500511885,-1.46943582221866,1.22276192624764,-1.20387526292579,1.21331859458671,
5,5,2,3.535,3,38.8154507308368,35.8757294163581,1.47088505327702,-1.47022781893611,1.22550383308343,-1.20984392313749,1.21767387811046,
6,6,2,3.868,3,38.8205379874719,35.8713842375802,1.47370090708137,-1.47602492943406,1.22790273380951,-1.21466081670272,1.22128177525612,
7,7,2,4.202,3,38.8247311743996,35.8651950400307,1.47425699979067,-1.47910844534636,1.23017897935055,-1.22100032956956,1.22558965446006,
8,8,2,4.535,3,38.830104533341,35.861059967634,1.47760733962059,-1.48590039461851,1.23268935939059,-1.22497689076228,1.22883312507644,
9,9,2,4.868,3,38.8340205586594,35.8577832021564,1.48267783224583,-1.49008724838495,1.23548556233335,-1.22935764595885,1.2324216041461,
10,10,2,5.202,3,38.8362602032764,35.8549691177524,1.48430550470948,-1.49223720654845,1.23703071964162,-1.23247292002078,1.2347518198312,
11,11,2,5.535,3,38.8405919710087,35.8513995444456,1.48432869464159,-1.49481715634465,1.23884437725244,-1.23630391549276,1.2375741463726,
12,12,2,5.868,3,38.8419375459183,35.8480847810055,1.48931881412864,-1.49817056953907,1.24108439434475,-1.23881224662311,1.23994832048393,
13,13,2,6.202,3,38.8437793295156,35.8452572855558,1.49035379290581,-1.50241479277611,1.24265805012426,-1.24096723396299,1.24181264204362,
14,14,2,6.535,3,38.8467074078073,35.84360996212,1.49094043299556,-1.50286890566349,1.24392250680404,-1.24364646278851,1.24378448479628,
15,15,2,6.868,3,38.84746289671,35.8423627348782,1.4920256100595,-1.50639144703746,1.24502835924684,-1.24618711081271,1.24560773502977,
16,16,2,7.202,3,38.8509542389174,35.8412227960012,1.49482237175107,-1.50854373350739,1.24678399546033,-1.24796314299092,1.24737356922563,
17,17,2,7.535,3,38.8528004928632,35.8400515646845,1.4954524114728,-1.51080219075084,1.24771773948858,-1.24895937876493,1.24833855912675,
18,18,2,7.868,3,38.8554648205912,35.838323774975,1.49738322943449,-1.50890676304698,1.24948520349897,-1.25074435163999,1.25011477756948,
19,19,2,8.202,3,38.8561487839174,35.8381784886476,1.49730322882533,-1.51014486327767,1.24934485318473,-1.25238077856203,1.25086281587338,
20,20,2,8.535,3,38.8588801668734,35.8362830608679,1.49776767939329,-1.51411956176162,1.25122891878332,-1.2531935437859,1.25221123128461,
21,21,2,8.868,3,38.8602972673597,35.8358963757194,1.5028590336442,-1.51371601969004,1.25178240379827,-1.25391438747019,1.25284839563423,
22,22,2,9.202,3,38.8616964864517,35.8355365126622,1.50061249732971,-1.51312509551644,1.25254776470233,-1.25564972085124,1.25409874277678,
23,23,2,9.535,3,38.862456445703,35.8347430257969,1.49969030171633,-1.51293836534023,1.25337757312959,-1.25653131081447,1.25495444197203,
24,24,2,9.868,3,38.8634175706385,35.8343295185572,1.5024833381176,-1.51491742581129,1.25458093504751,-1.2574970923398,1.25603901369365,
25,25,2,10.202,3,38.8646647978803,35.8339338927117,1.50253213942051,-1.51520473882556,1.25447942088525,-1.25748973489134,1.2559845778883,
26,26,2,10.535,3,38.8659924913958,35.834693851963,1.50270396843553,-1.51364710181952,1.25561209541862,-1.25850664602684,1.25705937072273,
27,27,2,10.868,3,38.8673425366539,35.8336209683141,1.50356870144606,-1.51533121243119,1.25646444185255,-1.26012649540678,1.25829546862967,
28,28,2,11.202,3,38.8685674121531,35.8339338927117,1.50423031300306,-1.51579566299915,1.25649266092701,-1.25931130874418,1.25790198483559,
29,29,2,11.535,3,38.8690323284009,35.8339830665456,1.50480596348643,-1.51556367054582,1.25760028288272,-1.25955885428847,1.2585795685856,
30,30,2,11.868,3,38.8697967580007,35.8341819970555,1.50664253160357,-1.51491863653064,1.25799628124778,-1.26057865252399,1.25928746688589,
31,31,2,12.202,3,38.8707221201479,35.8337103752849,1.50149380788207,-1.51537684723735,1.25792037845674,-1.26134140572481,1.25963089209077,
32,32,2,12.535,3,38.871280913715,35.8348793714273,1.50739904493093,-1.51424566283822,1.25824801774373,-1.26102158954757,1.25963480364565,
33,33,2,12.868,3,38.8725773147907,35.8361131876235,1.50695741176605,-1.51442792266607,1.25876108335829,-1.26065902566347,1.25971005451088,
34,34,2,13.202,3,38.8721749834224,35.8353621690693,1.50549216195941,-1.5134371817112,1.25838622601601,-1.26150224513602,1.25994423557602,
35,35,2,13.535,3,38.8731226973122,35.8359187274621,1.50747820734978,-1.51469018310308,1.25816689954618,-1.2624690511162,1.26031797533119,
36,36,2,13.868,3,38.8745889716324,35.8386009365843,1.509072445333,-1.51536706835032,1.25971140492864,-1.2616581485375,1.26068477673307,
37,37,2,14.202,3,38.8772354179662,35.8386657566381,1.50716695934534,-1.51690905913711,1.2588615730657,-1.26230485894366,1.26058321600468,
38,38,2,14.535,3,38.8769359046143,35.8404606015757,1.50636313483119,-1.51191912591457,1.25933310169277,-1.26265876152768,1.26099593161023,
39,39,2,14.868,3,38.8791531974886,35.8403667242564,1.50836184620857,-1.51421725749969,1.26023955796915,-1.26174466840607,1.26099211318761,
40,40,2,15.202,3,38.8775170499241,35.8402370841488,1.50584327057004,-1.51682430878282,1.25919349643661,-1.26190150313014,1.26054749978338,
41,41,2,15.535,3,38.8777360970024,35.840163323398,1.50735843926668,-1.51371508836746,1.25897295924741,-1.26248711877443,1.26073003901092,
42,42,2,15.868,3,38.8790101463354,35.8407757611475,1.50832161307335,-1.51458103209734,1.2598394617847,-1.26266118296641,1.26125032237555,
43,43,2,16.202,3,38.8788626248337,35.8406930596996,1.50478472933173,-1.51391206309199,1.25949012268137,-1.26226443954328,1.26087728111232,
44,44,2,16.535,3,38.8790280277296,35.840496364364,1.50907449424267,-1.5149112790823,1.26016896371687,-1.26192003644968,1.26104450008327,
45,45,2,16.868,3,38.8804630096099,35.8418821724104,1.50915142148733,-1.51253463700414,1.26005860199001,-1.26265354612118,1.26135607405559,
46,46,2,17.202,3,38.8809279258578,35.8417435916058,1.50513537228107,-1.51174617931247,1.25993389789527,-1.26310644829646,1.26152017309587,
47,47,2,17.535,3,38.8800383264989,35.8420721622232,1.50849632918835,-1.51295177638531,1.25993017260491,-1.26280581736456,1.26136799498474,
48,48,2,17.868,3,38.8820902164774,35.8426063688734,1.51170725002885,-1.51293110102415,1.26081530159399,-1.26216879271334,1.26149204715366,
49,49,2,18.202,3,38.8822824414645,35.843160692092,1.50628760457039,-1.51246041059494,1.26004444588665,-1.26352032805524,1.26178238697094,
50,50,2,18.535,3,38.8832882698853,35.8433216246393,1.50954239070415,-1.5095473267138,1.26006400366103,-1.26325238654624,1.26165819510363,
51,51,2,18.868,3,38.8826892431813,35.8426175447448,1.50927407667041,-1.51114035397768,1.26071835091242,-1.2631619551228,1.26194015301761,
52,52,2,19.202,3,38.8838113006641,35.8429796429763,1.50782717391849,-1.51101155206561,1.25982744772329,-1.26276502543514,1.26129623657922,
53,53,2,19.535,3,38.8832033332631,35.8437306615305,1.50955794379115,-1.51133667677641,1.26045925696802,-1.26301340916977,1.26173633306889,
54,54,2,19.868,3,38.8830021675789,35.8437239560077,1.50880748406053,-1.50986677035689,1.26056300630449,-1.26318821841982,1.26187561236216,
55,55,2,20.202,3,38.8833597954619,35.8438021871071,1.50656485930085,-1.51211256161332,1.25990428183693,-1.26243226387391,1.26116827285542,
56,56,2,20.535,3,38.8857201394894,35.8453265759582,1.51081373915076,-1.51067012920976,1.26057492723364,-1.26185503013293,1.26121497868328,
57,57,2,20.868,3,38.8860956487665,35.8456976148867,1.5117303468287,-1.50842657312751,1.26108184611911,-1.26229964353716,1.26169074482814,
58,58,2,21.202,3,38.8858453092484,35.846158060786,1.50723299011588,-1.50908110663295,1.26060063173711,-1.26271287137013,1.26165675155362,
59,59,2,21.535,3,38.8864800987407,35.8454964492026,1.51025103405118,-1.50958374142647,1.26098042508911,-1.26216748886171,1.26157395697541,
60,60,2,21.868,3,38.8863236365419,35.846482161055,1.51159688830376,-1.51095436885953,1.26123663193349,-1.26245238044184,1.26184450618767,
61,61,2,22.202,3,38.8863549289817,35.8456707927955,1.50851141661406,-1.50929288938642,1.26083690827807,-1.2632009775393,1.26201894290868,
62,62,2,22.535,3,38.8874993382071,35.8469001386432,1.51093890890479,-1.50824887678027,1.26085311329112,-1.26277387299974,1.26181349314543,
63,63,2,22.868,3,38.8869316039429,35.8468017909754,1.51043012738228,-1.51019124314189,1.26137847236387,-1.26231305458245,1.26184576347316,
64,64,2,23.202,3,38.8872221765978,35.8469157848631,1.5082648023963,-1.50858163833618,1.26127882084679,-1.26212325103871,1.26170103594275,
65,65,2,23.535,3,38.8872311172949,35.8470789525847,1.50843281298876,-1.50868743658066,1.26130471161478,-1.26275031053823,1.26202751107651,
66,66,2,23.868,3,38.8870701847476,35.8471460078127,1.5103523619473,-1.50796817615628,1.26187402911375,-1.26274882042209,1.26231142476792,
67,67,2,24.202,3,38.8875127492527,35.8466676805193,1.50682590901852,-1.50997759774327,1.26092519765955,-1.26210313447077,1.26151416606516,
68,68,2,24.535,3,38.8880715428199,35.8475885723179,1.51004930958152,-1.50854513049126,1.26126457161117,-1.26217326306176,1.26171891733647,
69,69,2,24.868,3,38.8880760131684,35.8475684557494,1.50850936770439,-1.50703554973006,1.26164697266643,-1.26231845625347,1.26198271445995,
70,70,2,25.202,3,38.8876870928457,35.848697218755,1.50679443031549,-1.50653589516878,1.26149973056503,-1.26204939715736,1.26177456386119,
71,71,2,25.535,3,38.888688450918,35.8487016891036,1.51100996881723,-1.50935286656022,1.26141032359643,-1.26227570854661,1.26184301607152,
72,72,2,25.868,3,38.8875440416925,35.8486525152697,1.51053247973323,-1.50793511420488,1.2613579832669,-1.26248888828735,1.26192343577713,
73,73,2,26.202,3,38.8878435550445,35.8491442536087,1.50790521875024,-1.50625435635448,1.26147803074869,-1.26290574827842,1.26219188951356,
74,74,2,26.535,3,38.8886571584782,35.8494370614379,1.50940679013729,-1.50757655501366,1.26072133114471,-1.26260977395947,1.26166555255209,
75,75,2,26.868,3,38.8884336410514,35.8498572742004,1.51175819337368,-1.50697603821754,1.26140492192541,-1.26120440817189,1.26130466504865,
76,76,2,27.202,3,38.8893321811073,35.8492448364508,1.50808459147811,-1.50781339034438,1.26150624982315,-1.26182746298428,1.26166685640372,
77,77,2,27.535,3,38.8896495758534,35.850145611681,1.50969242677093,-1.50531474500895,1.2613319062344,-1.26277573564492,1.26205382093966,
