"Total Cycles","Elapsed Cycles","Step","PC:Cycle Start Time (s)","PC:Frequency (Hz)","Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",
1,1,2,2.201,5,35.4398078491242,34.0784682553811,0.374708394519985,-1.14064402878284,0.270962486653682,-0.757747528159994,0.514355007406838,
2,2,2,2.402,5,36.410570856018,33.7373694861391,1.35849788784981,-1.50793893262744,1.05749593877014,-1.02722832713988,1.04236213295501,
3,3,2,2.602,5,36.4148690961363,33.7385228360616,1.36176003143191,-1.50275211781263,1.05982210320198,-1.02847462302918,1.04414836311558,
4,4,2,2.802,5,36.4238321449529,33.7302862188823,1.36589249596,-1.51570197194815,1.06684604503985,-1.0386732573102,1.05275965117502,
5,5,2,3.002,5,36.4331707030467,33.7218462008445,1.37318903580308,-1.52213592082262,1.07129450738868,-1.0449327695666,1.05811363847764,
6,6,2,3.202,5,36.439017918933,33.71186838291,1.37854618951678,-1.53158558532596,1.07645692163463,-1.05216020539028,1.06430856351245,
7,7,2,3.402,5,36.4434659157273,33.7027533422431,1.38307921588421,-1.54026551172137,1.08126766847077,-1.05756290086433,1.06941528466755,
8,8,2,3.602,5,36.4483318901098,33.6962914534329,1.38639733195305,-1.55125539749861,1.08551459261123,-1.06282133446925,1.07416796354024,
9,9,2,3.802,5,36.4524513162866,33.688783503065,1.38842789456248,-1.55916707590222,1.08932277067976,-1.07057394310117,1.07994835689047,
10,10,2,4.002,5,36.4573754052001,33.6832290950079,1.39132393524051,-1.56335365027189,1.09294617434654,-1.07308208796699,1.08301413115677,
11,11,2,4.202,5,36.4594407062242,33.6764364004059,1.39114828780293,-1.57292634248734,1.09523797297482,-1.07816245269281,1.08670021283381,
12,12,2,4.402,5,36.4615350645137,33.6691184398509,1.39384800568223,-1.57700814306736,1.09834188490116,-1.08362875749972,1.09098532120044,
13,13,2,4.602,5,36.4638775271471,33.6612774485171,1.39536652714014,-1.58438924700022,1.10085524517349,-1.08725970487947,1.09405747502648,
14,14,2,4.802,5,36.4631622713812,33.6570797912409,1.39328641816974,-1.59268025308847,1.10196780313893,-1.09014214829402,1.09605497571647,
15,15,2,5.002,5,36.4654063863468,33.6531660010968,1.39725543558598,-1.59392561763525,1.10411878579167,-1.09212931130327,1.09812404854747,
16,16,2,5.202,5,36.4677868469427,33.6468248116971,1.39646092429757,-1.60037539899349,1.10649682489174,-1.09555592650688,1.10102637569931,
17,17,2,5.402,5,36.469338057885,33.643036191312,1.3969455845654,-1.60681195557117,1.10816193654954,-1.09845578565386,1.1033088611017,
18,18,2,5.602,5,36.4692486509143,33.6384674951072,1.39956679195166,-1.60893481224775,1.11041517842262,-1.0995111604123,1.10496316941746,
19,19,2,5.802,5,36.4699393197632,33.6360199792832,1.39666218310595,-1.61509867757559,1.11130934124081,-1.10189869900278,1.1066040201218,
20,20,2,6.002,5,36.4697493299504,33.6339882058732,1.3972326181829,-1.61490812897682,1.11259819857244,-1.10420046278277,1.10839933067761,
21,21,2,6.202,5,36.4710300848063,33.6301682930483,1.39575274661183,-1.61667317152023,1.1138581849038,-1.10487744117309,1.10936781303845,
22,22,2,6.402,5,36.4713743016436,33.6254967788272,1.3966198079288,-1.62290763109922,1.1153043426208,-1.1081443345526,1.1117243385867,
23,23,2,6.602,5,36.4729724512456,33.6235074737282,1.39618553221226,-1.62863340228796,1.11673289834086,-1.10828505739588,1.11250897786837,
24,24,2,6.802,5,36.4756054865339,33.6212343014972,1.39776086434722,-1.62894632667303,1.11727837398154,-1.11124554564343,1.11426195981249,
25,25,2,7.002,5,36.4759474681969,33.6194036937713,1.39815853908658,-1.63361243903637,1.11806515530517,-1.11348789104221,1.11577652317369,
26,26,2,7.202,5,36.475623367928,33.6166343128526,1.39635503292084,-1.63099318742752,1.11818790362246,-1.11495882194009,1.11657336278128,
27,27,2,7.402,5,36.4761575745782,33.6162900960153,1.39784263446927,-1.63445770740509,1.11942656266652,-1.11470177690539,1.11706416978595,
28,28,2,7.602,5,36.4761508690554,33.6146539484508,1.3980726711452,-1.63794104009867,1.11967997554313,-1.11669517977599,1.11818757765956,
29,29,2,7.802,5,36.4753283249246,33.6117705736444,1.3964862562716,-1.63332894444466,1.11964793804605,-1.11789099798093,1.11876946801349,
30,30,2,8.002,5,36.4752299772567,33.6118823323579,1.39729138463736,-1.64011344313622,1.1202034719707,-1.11722482293265,1.11871414745167,
31,31,2,8.202,5,36.4766761350085,33.6096069249525,1.3958546333015,-1.63911618292332,1.1218181990764,-1.11973976645338,1.12077898276489,
32,32,2,8.402,5,36.4759742902882,33.6094661089736,1.39561044052243,-1.63712184876204,1.12128082594225,-1.11895857306529,1.12011969950377,
33,33,2,8.602,5,36.4764012085734,33.6092984709035,1.39631256461143,-1.64382047951221,1.12237084590102,-1.11980030242169,1.12108557416136,
34,34,2,8.802,5,36.4764034437477,33.6072488160993,1.39460610225797,-1.63927208632231,1.1228632361541,-1.11988961625803,1.12137642620606,
35,35,2,9.002,5,36.4763430940424,33.6049890549138,1.39426682144403,-1.64279844611883,1.12184325165406,-1.12054461543524,1.12119393354465,
36,36,2,9.202,5,36.4765152024611,33.6026376515834,1.39516927301884,-1.64549276232719,1.12264735557785,-1.12237894840755,1.1225131519927,
37,37,2,9.402,5,36.4754669057292,33.6013814836445,1.39351086691022,-1.64677929133177,1.12258179046755,-1.12250737779264,1.12254458413009,
38,38,2,9.602,5,36.4751696275515,33.6021079152818,1.3947481289506,-1.64542924612761,1.12318333172811,-1.12123798510313,1.12221065841562,
39,39,2,9.802,5,36.4752947973105,33.6010998516867,1.39224752783775,-1.6468433663249,1.12326826834828,-1.12131873077164,1.12229349955996,
40,40,2,10.002,5,36.4762425112004,33.6015401810176,1.39367170631886,-1.64527129381895,1.12432215299058,-1.12149568206365,1.12290891752711,
41,41,2,10.202,5,36.4745191918394,33.6005835264307,1.39351869001985,-1.64729300886393,1.12318957158946,-1.12170588157211,1.12244772658078,
42,42,2,10.402,5,36.4756770121104,33.6001096694857,1.39183513820171,-1.64808388799429,1.12444899912727,-1.12204804949149,1.12324852430938,
43,43,2,10.602,5,36.4751919792942,33.5989809064802,1.39407571405172,-1.64800975471735,1.12437477271688,-1.121749001808,1.12306188726244,
44,44,2,10.802,5,36.4756457196707,33.5979013173085,1.39102460816503,-1.65386721491814,1.12450599606975,-1.12332964250693,1.12391781928834,
45,45,2,11.002,5,36.4758245336122,33.5979080228313,1.39271756634116,-1.65161192417145,1.12530115929667,-1.12211780555345,1.12370948242506,
46,46,2,11.202,5,36.4753037380076,33.5985249309294,1.39230210334063,-1.65138635784388,1.12553482813438,-1.12263301320997,1.12408392067218,
47,47,2,11.402,5,36.4748745845481,33.5968820778421,1.3894135132432,-1.65310725569725,1.12555084688292,-1.12332200566169,1.12443642627231,
48,48,2,11.602,5,36.4762670981173,33.5966943232035,1.39334602281451,-1.65040250867605,1.12683216050158,-1.12178932807613,1.12431074428885,
49,49,2,11.802,5,36.4751003371492,33.5959477749978,1.39158200472593,-1.65566764771938,1.12711351305587,-1.12313993209544,1.12512672257566,
50,50,2,12.002,5,36.4760704027817,33.5964059857229,1.39116486534476,-1.65422353893518,1.12720366508254,-1.12184399671213,1.12452383089733,
51,51,2,12.202,5,36.4746622429926,33.5963411656691,1.39270508661866,-1.65344178676605,1.12737251386802,-1.12172758138844,1.12455004762823,
52,52,2,12.402,5,36.4756971286789,33.5951788750495,1.38969449326396,-1.65564399212599,1.12879892754612,-1.12294780024523,1.12587336389567,
53,53,2,12.602,5,36.4741660343049,33.5940523472182,1.39123070985079,-1.65396761149168,1.12788110913415,-1.12293811449029,1.12540961181222,
54,54,2,12.802,5,36.4748969362907,33.5935226109165,1.39136221259832,-1.65775679051876,1.1290510365711,-1.1236160242032,1.12633353038715,
55,55,2,13.002,5,36.4751137481948,33.5921658601356,1.38982841745019,-1.65976192802191,1.12842816802324,-1.12348982999232,1.12595899900778,
56,56,2,13.202,5,36.4750109301784,33.5921256269987,1.39030683785677,-1.65585950016975,1.13041989451318,-1.12239375643672,1.12640682547495,
57,57,2,13.402,5,36.4738709913015,33.5911354447978,1.38793094083667,-1.66047681123018,1.12933015395118,-1.1236498312132,1.12648999258219,
58,58,2,13.602,5,36.4739514575752,33.5918507005637,1.38705456629395,-1.66110638529062,1.13028811236676,-1.12222816728031,1.12625813982353,
59,59,2,13.802,5,36.4753015028333,33.5919110502689,1.38990543782711,-1.65786743164063,1.13098921201215,-1.12283548274093,1.12691234737654,
60,60,2,14.002,5,36.4748388217598,33.5916629459251,1.38671090826392,-1.65925994515419,1.13106595299352,-1.12280102380512,1.12693348839932,
61,61,2,14.202,5,36.4748298810627,33.5902190233477,1.38890277594328,-1.65989920496941,1.1311889807076,-1.12146364456657,1.12632631263709,
62,62,2,14.402,5,36.4745147214908,33.5903441931067,1.38759985566139,-1.66127793490887,1.13186037116238,-1.12292926692569,1.12739481904404,
63,63,2,14.602,5,36.4748365865855,33.5909476901592,1.38807380571961,-1.66167076677084,1.13247560286502,-1.1214093484596,1.12694247566231,
64,64,2,14.802,5,36.4759675847653,33.5913410808305,1.38823036104441,-1.6581853851676,1.13308384964823,-1.12167701057183,1.12738043011003,
65,65,2,15.002,5,36.4750913964521,33.590795698309,1.38706499710679,-1.66466925293207,1.13252272778805,-1.12258346684821,1.12755309731813,
66,66,2,15.202,5,36.4756390141479,33.5894545937479,1.38682192191482,-1.65992118418217,1.13310880909363,-1.12199161134257,1.1275502102181,
67,67,2,15.402,5,36.4748634086767,33.5890634382509,1.3864547945559,-1.6625814139843,1.13406676750921,-1.12290961601906,1.12848819176413,
68,68,2,15.602,5,36.4737368808454,33.5877357447354,1.38307679444551,-1.66695695370436,1.13276161203226,-1.12137610024316,1.12706885613771,
69,69,2,15.802,5,36.4742397950558,33.5880240822161,1.38475243002176,-1.65904704481363,1.13389251705271,-1.12140832400475,1.12765042052873,
70,70,2,16.002,5,36.4729635105485,33.5889896775,1.38434544205666,-1.66470296680927,1.13393414717246,-1.12176911837593,1.1278516327742,
71,71,2,16.202,5,36.4736273573062,33.5877826833951,1.38605572283268,-1.66488569229841,1.13484423560693,-1.12132189726845,1.12808306643769,
72,72,2,16.402,5,36.4738508747331,33.5889360333176,1.3839733786881,-1.66287384927273,1.13483175588423,-1.12110843813093,1.12797009700758,
73,73,2,16.602,5,36.4741056845997,33.5893718923,1.38288531452417,-1.66659876704216,1.13449359265198,-1.12099043955884,1.12774201610541,
74,74,2,16.802,5,36.4740140424547,33.5881425464523,1.38395074754953,-1.66175495833158,1.13494286266916,-1.12015476379927,1.12754881323421,
75,75,2,17.002,5,36.4734954820244,33.5879592621623,1.38401137664914,-1.66562609374523,1.13576084329954,-1.12166099182329,1.12871091756141,
76,76,2,17.202,5,36.4727377579474,33.5875122273086,1.38237634673715,-1.6654945909977,1.13470928696371,-1.12045949255055,1.12758438975713,
77,77,2,17.402,5,36.4737771139822,33.5865287506304,1.38239022344351,-1.66462250053883,1.13648801997743,-1.12083248724766,1.12866025361254,
78,78,2,17.602,5,36.472268371351,33.5859632515405,1.38052301481366,-1.66651178151369,1.13528987346602,-1.1205962107067,1.12794304208636,
79,79,2,17.802,5,36.4727735207357,33.5868573212479,1.3810713775456,-1.66684072464705,1.13598547830813,-1.12007578764367,1.1280306329759,
80,80,2,18.002,5,36.4726707027193,33.5865354561532,1.38007504865527,-1.66531093418598,1.13630026534338,-1.12128408557131,1.12879217545735,
81,81,2,18.202,5,36.4723801300644,33.5859386646236,1.38060385361314,-1.66813265532255,1.13585602446819,-1.11972430649839,1.12779016548329,
82,82,2,18.402,5,36.4711686656109,33.5852770530401,1.37862246483564,-1.66716389358044,1.1352501991237,-1.12014386732497,1.12769703322434,
83,83,2,18.602,5,36.471119491777,33.5855765663921,1.37807605788112,-1.66892856359482,1.13543301774803,-1.12082540919598,1.128129213472,
84,84,2,18.802,5,36.4704556450193,33.584568502797,1.38031207025051,-1.6691530123353,1.13590827166546,-1.11974237415663,1.12782532291104,
85,85,2,19.002,5,36.4715553507594,33.5851250611898,1.37858688831329,-1.66713409125805,1.13622771531366,-1.12030750070395,1.1282676080088,
86,86,2,19.202,5,36.4699013218007,33.5839314781305,1.37693136930466,-1.67136248201132,1.13564368291778,-1.12022042204183,1.1279320524798,
87,87,2,19.402,5,36.4692352398687,33.5856413864459,1.37700252234936,-1.66456736624241,1.13490346772363,-1.11890781598416,1.12690564185389,
88,88,2,19.602,5,36.4695191070008,33.5857062064996,1.37456376105547,-1.66921485215425,1.13609397738981,-1.11969655308522,1.12789526523751,
89,89,2,19.802,5,36.4694922849095,33.5849730693396,1.37665001675487,-1.67053360491991,1.13560782699808,-1.11978996474095,1.12769889586952,
90,90,2,20.002,5,36.4693425282336,33.584302517059,1.37677798047662,-1.66454333811998,1.13578757225786,-1.11990507621302,1.12784632423544,
91,91,2,20.202,5,36.4705025836789,33.5849194251571,1.37528795748949,-1.66604053229094,1.1368908169974,-1.11890865417449,1.12789973558594,
92,92,2,20.402,5,36.468855260243,33.5853150510027,1.37512963265181,-1.66845861822367,1.13596387162405,-1.11845081598949,1.12720734380677,
93,93,2,20.602,5,36.4687837346664,33.5848031960952,1.37508306652308,-1.66755542159081,1.13660220012691,-1.11931582841063,1.12795901426877,
94,94,2,20.802,5,36.4678270800795,33.5851116501442,1.37313809245825,-1.67374759912491,1.13522794051381,-1.11876970084414,1.12699882067898,
95,95,2,21.002,5,36.469188301209,33.5851228260156,1.37479836121202,-1.66641399264336,1.1366786617115,-1.11779730692842,1.12723798431996,
96,96,2,21.202,5,36.4677443786316,33.5838755987737,1.37368468567729,-1.66942495852709,1.13614007785799,-1.11917808579964,1.12765908182881,
97,97,2,21.402,5,36.4676080330012,33.5853910469278,1.37229347601533,-1.66987795382738,1.13575804933177,-1.11739786266978,1.12657795600077,
98,98,2,21.602,5,36.4676795585778,33.585543038778,1.3720559887588,-1.66735798120499,1.13678026900602,-1.11783903018043,1.12730964959323,
99,99,2,21.802,5,36.4670112414715,33.5847674333069,1.37154702097178,-1.66738238185644,1.13598948299526,-1.11762240454611,1.12680594377069,
100,100,2,22.002,5,36.4673196955206,33.5852144681606,1.37187317013741,-1.6659002751112,1.13611167251901,-1.11683171166761,1.12647169209331,
101,101,2,22.202,5,36.4663541002366,33.5847651981326,1.37115735560656,-1.67076736688614,1.13577937661907,-1.11844392420232,1.1271116504107,
102,102,2,22.402,5,36.4669106586294,33.5832721017213,1.37124583125114,-1.66971515864134,1.136168855726,-1.118274050962,1.127221453344,
103,103,2,22.602,5,36.4663183374483,33.5836677275668,1.36963156983256,-1.66700016707182,1.13547539292585,-1.11878199430232,1.12712869361408,
104,104,2,22.802,5,36.4652700407164,33.5843874536812,1.36824380606413,-1.66932865977287,1.13571530162491,-1.11813230366387,1.12692380264439,
105,105,2,23.002,5,36.465974120611,33.5843673371128,1.3708165846765,-1.66771654039621,1.13627474710443,-1.11758133321991,1.12692804016217,
106,106,2,23.202,5,36.4637858850021,33.5852301143805,1.37121081352234,-1.66815184056759,1.1360860611478,-1.11809076667638,1.12708841391209,
107,107,2,23.402,5,36.4644966704195,33.5860817157767,1.36789809912443,-1.67062301188707,1.1352538312818,-1.11695781274623,1.12610582201402,
108,108,2,23.602,5,36.4637121242512,33.5847204946472,1.36955259367824,-1.66656728833914,1.13619372203914,-1.11731599941416,1.12675486072665,
109,109,2,23.802,5,36.4641569239307,33.5845372103572,1.36736342683434,-1.66879519820213,1.1360111828116,-1.11839316712119,1.1272021749664,
110,110,2,24.002,5,36.464009402429,33.5851921164179,1.36757018044591,-1.66954640299082,1.13625314042035,-1.11644679604136,1.12634996823086,
111,111,2,24.202,5,36.4648118299913,33.5839851223129,1.36920558288693,-1.66766997426748,1.13696942062395,-1.11800648198203,1.12748795130299,
112,112,2,24.402,5,36.4644184393201,33.5832631610242,1.36732943356037,-1.67335513979197,1.13610608458347,-1.11765965744969,1.12688287101658,
113,113,2,24.602,5,36.4633991998537,33.5833816252604,1.36713162064552,-1.66914388537407,1.13584103017449,-1.11749118119325,1.12666610568387,
114,114,2,24.802,5,36.4620156269815,33.5838353656369,1.36709036305547,-1.67143978178501,1.13528549624985,-1.11779330224129,1.12653939924557,
115,115,2,25.002,5,36.4617295246751,33.5828764758757,1.36563889682293,-1.67252514511347,1.13577527879967,-1.11717061995794,1.1264729493788,
