"Total Cycles","Elapsed Cycles","Step","PC:Cycle Start Time (s)","PC:Frequency (Hz)","Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",
1,1,2,2.236,5,34.9102905945717,32.5894510370737,0.704262917861342,-1.69932134449482,0.541652887412836,-1.43646898183818,0.989060934625507,
2,2,2,2.437,5,36.6073019544329,32.3952680373249,2.27198284119368,-1.91667322069407,1.93024299401913,-1.88795852701634,1.90910076051774,
3,3,2,2.637,5,37.1974416054952,32.7783322034577,2.69559994339943,-1.61962937563658,1.89316760052403,-1.89185834722768,1.89251297387585,
4,4,2,2.837,5,37.3292319507135,32.8308386821986,2.77782250195742,-1.59351862967014,1.89564193837985,-1.87775048637717,1.88669621237851,
5,5,2,3.037,5,37.3688012407885,32.8684611354858,2.7883343398571,-1.62803716957569,1.8960273196674,-1.88168960840179,1.88885846403459,
6,6,2,3.237,5,37.4058649005085,32.8732600546402,2.79418900609016,-1.65223348885775,1.89413356831387,-1.8831119242605,1.88862274628718,
7,7,2,3.437,5,37.4059230150395,32.8747263289603,2.78121810406446,-1.66907999664545,1.89830645230846,-1.88256244393268,1.89043444812057,
8,8,2,3.637,5,37.402297562376,32.8757567442981,2.77371499687433,-1.66697148233652,1.89872796891248,-1.88338852706958,1.89105824799103,
9,9,2,3.837,5,37.4010860979225,32.8744938708364,2.77023632079363,-1.65825858712196,1.90086144270054,-1.88441540335678,1.89263842302866,
10,10,2,4.037,5,37.3981736658507,32.8725693857912,2.75984797626734,-1.60460602492094,1.90155155273937,-1.88454988633871,1.89305071953904,
11,11,2,4.237,5,37.3946934995146,32.8735126293325,2.75469049811363,-1.57380905002356,1.90110358657382,-1.88400897417872,1.89255628037627,
12,12,2,4.437,5,37.3926125522707,32.8723972773726,2.74770893156528,-1.53706995770335,1.90056788982033,-1.88535939193352,1.89296364087692,
13,13,2,4.637,5,37.3900890405216,32.8710472321144,2.74234097450972,-1.56957767903805,1.90033822566975,-1.88679456004396,1.89356639285686,
14,14,2,4.837,5,37.3890586251838,32.8693105017078,2.73320134729147,-1.62821263074875,1.90122354092334,-1.88676382639851,1.89399368366093,
15,15,2,5.037,5,37.3869352096287,32.8692680333967,2.72544752806425,-1.63302086293697,1.90079494626765,-1.88861641329358,1.89470567978061,
16,16,2,5.237,5,37.3850084894093,32.8679090474415,2.72646490484476,-1.65045652538538,1.90036411643774,-1.88816695701188,1.89426553672481,
17,17,2,5.437,5,37.3824246279549,32.8674240146252,2.71915085613728,-1.65692940354347,1.89977682441279,-1.89043249234313,1.89510465837796,
18,18,2,5.637,5,37.3812556318125,32.8681504462624,2.71557103842497,-1.66559517383575,1.89969486802491,-1.89073610350732,1.89521548576611,
19,19,2,5.837,5,37.3792529156679,32.8666506443283,2.71060410887003,-1.6629908233881,1.89984853625218,-1.8923735548842,1.89611104556819,
20,20,2,6.037,5,37.3776570012403,32.8655978772478,2.70552672445774,-1.66592337191105,1.89939367829946,-1.89305677313587,1.89622522571767,
21,21,2,6.237,5,37.375207250242,32.8651843700082,2.69793327897787,-1.6538517549634,1.89870356826063,-1.89539606921622,1.89704981873843,
22,22,2,6.437,5,37.3747065712059,32.8630587192788,2.69064120948315,-1.64219252765179,1.89806523975778,-1.89450982264004,1.89628753119891,
23,23,2,6.637,5,37.37305924777,32.8631168338098,2.68262196332216,-1.63793582469225,1.89729671235691,-1.89465455017045,1.89597563126368,
24,24,2,6.837,5,37.3717248487317,32.8621758254428,2.68025286495686,-1.61674488335848,1.89686793143669,-1.89466926506736,1.89576859825203,
25,25,2,7.037,5,37.3692281590738,32.8619523080159,2.67654024064541,-1.58996675163507,1.89573507063881,-1.89479666999761,1.89526587031821,
26,26,2,7.237,5,37.3681105719396,32.8610135348232,2.67963744699955,-1.57555919140577,1.89620073193356,-1.89387521942754,1.89503797568055,
27,27,2,7.437,5,37.3667426452872,32.8588118881687,2.67673991620541,-1.53630599379539,1.89667272622193,-1.89313351411725,1.89490312016959,
28,28,2,7.637,5,37.3651556715566,32.85920527884,2.67093144357204,-1.54255395755172,1.89471638999039,-1.89379791965261,1.8942571548215,
29,29,2,7.837,5,37.3635664626517,32.8583581477922,2.67063789069653,-1.56637467443943,1.89490321330185,-1.89535434596421,1.89512877963303,
30,30,2,8.037,5,37.361337993906,32.8585883707419,2.66791805624962,-1.59617345780134,1.89243446338156,-1.89687668586903,1.8946555746253,
31,31,2,8.237,5,37.3598672492374,32.8581346303654,2.668840251863,-1.57513227313757,1.89204088645523,-1.89706630314826,1.89455359480174,
32,32,2,8.437,5,37.3576477211888,32.855758640118,2.66259387135506,-1.63744278252125,1.89077801302384,-1.89931023179544,1.89504412240964,
33,33,2,8.637,5,37.356492136092,32.8554457157204,2.66485996544361,-1.62093322724104,1.88998247726788,-1.89922324626558,1.89460286176673,
34,34,2,8.837,5,37.3537004034306,32.8546030550212,2.65931319445372,-1.64402835071087,1.8888309900182,-1.90089627416539,1.89486363209179,
35,35,2,9.037,5,37.3529382090051,32.8537402777535,2.66237165778875,-1.64468456059694,1.88841673773038,-1.90137534650544,1.89489604211791,
36,36,2,9.237,5,37.3514004091084,32.8536911039196,2.66018845140934,-1.66396982967854,1.88712294438903,-1.90026278854,1.89369286646451,
37,37,2,9.437,5,37.3508125582758,32.8521533040229,2.65669655054808,-1.6703687608242,1.88797082047452,-1.90130382093056,1.89463732070254,
38,38,2,9.637,5,37.3499117830456,32.851887318285,2.65273805707693,-1.67000014334917,1.88669416346881,-1.90241023216691,1.89455219781786,
