"Total Cycles","Elapsed Cycles","Step","PC:Cycle Start Time (s)","PC:Frequency (Hz)","Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",
1,1,2,2.216,1,41.1316724182962,32.3089567829474,3.37017923593521,-3.98014187812805,3.76993833553702,-3.75360479996208,3.76177156774955,
2,2,2,3.217,1,41.0787703137097,32.3045847820782,3.24732512235641,-3.9266362786293,3.7657473838842,-3.74994581977239,3.75784660182829,
3,3,2,4.217,1,41.0479517308958,32.3261944469059,3.17904502153397,-3.8674745708704,3.76282675624347,-3.75043383280929,3.75663029452638,
4,4,2,5.217,1,41.0250635463865,32.3362460255913,3.12802083790302,-3.83219420909882,3.7654311067328,-3.75568649221417,3.76055879947348,
5,5,2,6.217,1,41.0040976117482,32.3426073315594,3.0832577496767,-3.80174592137337,3.76508763496178,-3.75905005687846,3.76206884592012,
6,6,2,7.217,1,40.9840480985599,32.3511613434849,3.04364785552025,-3.77206578850746,3.76541248028101,-3.76292435885085,3.76416841956593,
7,7,2,8.217,1,40.9682722385729,32.3601959178781,3.0030881986022,-3.73714715242386,3.76670962638369,-3.76501387421269,3.76586175029819,
8,8,2,9.217,1,40.9529210616969,32.3653055262558,2.96388957649469,-3.70665900409222,3.7674598998618,-3.76812113890036,3.76779051938108,
9,9,2,10.217,1,40.9362511320026,32.3704643084675,2.92615480720997,-3.68212983012199,3.76749715276538,-3.77194589451098,3.76972152363818,
