Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",width,thickness
0.644,0.644,1,1,1,0,45.66966627,0.001859246,0.000337837,0.001961588,,
0.659,0.659,1,1,1,0,45.6698272,0.000630459,0.000301329,0.002299127,,
0.669,0.669,1,1,1,0,45.66930864,0.001080218,0.00017893,0.001879904,,
0.679,0.679,1,1,1,0,45.6693757,0.00178183,0.000478933,0.001943158,,
0.689,0.689,1,1,1,0,45.66954557,0.000505801,0.000352738,0.002061986,,
0.699,0.699,1,1,1,0,45.66956792,0.001935428,0.000498863,0.001591873,,
0.71,0.71,1,1,1,0,45.6699926,0.002449797,0.000445079,0.00176466,,
0.722,0.722,1,1,1,0,45.66960815,0.001723738,0.000347872,0.002063387,,
0.734,0.734,1,1,1,0,45.6691343,0.001090555,0.000884756,0.00201012,,
0.744,0.744,1,1,1,0,45.67032788,0.001447252,0.000802521,0.002013756,,
0.754,0.754,1,1,1,0,45.66932205,0.001471327,0.000434089,0.001723064,,
0.764,0.764,1,1,1,0,45.66937123,0.001095165,3.66E-05,0.001737751,,
0.769,0.769,1,1,1,0,45.66938017,0.003455277,0.000209734,0.001992417,,
0.779,0.779,1,1,1,0,45.67029212,0.000717677,0.000171643,0.00237251,,
0.798,0.798,1,1,1,0,45.66946063,0.001298147,-3.85E-05,0.001912365,,
0.808,0.808,1,1,1,0,45.6693757,-0.000247289,0.000381074,0.001995291,,
0.818,0.818,1,1,1,0,45.66955898,0.002540206,0.000387128,0.001923913,,
0.828,0.828,1,1,1,0,45.66970203,0.001987442,0.000513601,0.001668892,,
0.839,0.839,1,1,1,0,45.6700686,0.001979526,-3.22E-05,0.001690177,,
0.849,0.849,1,1,1,0,45.67013119,0.000908668,0.000536651,0.002114704,,
0.859,0.859,1,1,1,0,45.66919241,0.002242811,0.000505033,0.002112327,,
0.869,0.869,1,1,1,0,45.66938017,0.001058704,0.000245892,0.00168129,,
0.879,0.879,1,1,1,0,45.66877667,0.000315486,0.00032289,0.001692536,,
0.889,0.889,1,1,1,0,45.66930417,0.002314919,7.16E-05,0.002015495,,
0.899,0.899,1,1,1,0,45.66903595,0.001005805,0.00042282,0.001402607,,
0.909,0.909,1,1,1,0,45.66965733,0.000325195,0.000672857,0.001841271,,
0.919,0.919,1,1,1,0,45.66956792,0.001601991,0.000301329,0.002047583,,
0.929,0.929,1,1,1,0,45.66955004,0.00086471,0.000594347,0.002065853,,
0.939,0.939,1,1,1,0,45.66900466,0.001011719,0.000588223,0.001886911,,
0.956,0.956,1,1,1,0,45.6697065,0.00122895,-0.00010028,0.00162444,,
0.967,0.967,1,1,1,0,45.66986744,0.002084603,0.000516605,0.001817182,,
0.977,0.977,1,1,1,0,45.66960368,0.000914582,0.000737049,0.001655552,,
0.991,0.991,1,1,1,0,45.66967521,0.002180669,0.000222679,0.002061968,,
1.001,1.001,1,1,1,0,45.66898678,0.000441307,2.75E-05,0.001831284,,
1.011,1.011,1,1,1,0,45.66937123,0.002076477,0.000193855,0.001852978,,
1.021,1.021,1,1,1,0,45.66941593,0.001307856,0.000313134,0.001953677,,
1.032,1.032,1,1,1,0,45.66976015,0.001830515,0.000285404,0.001734913,,
1.042,1.042,1,1,1,0,45.66976909,0.000878028,0.0004353,0.001898494,,
1.052,1.052,1,1,1,0,45.67007754,0.002360204,0.000520772,0.001990324,,
1.062,1.062,1,1,1,0,45.66940252,0.00138036,0.000494742,0.001717831,,
1.072,1.072,1,1,1,0,45.66926394,-0.000119675,0.000494299,0.001769946,,
1.082,1.082,1,1,1,0,45.66951875,0.002371264,0.000534975,0.001812056,,
1.092,1.092,1,1,1,0,45.66931311,0.001167413,0.000589155,0.002013366,,
1.102,1.102,1,1,1,0,45.6691343,0.00027006,0.000437931,0.001900445,,
1.112,1.112,1,1,1,0,45.66940699,0.00185594,0.000337861,0.00203733,,
1.122,1.122,1,1,1,0,45.66909406,0.002004113,0.000538258,0.001605815,,
1.132,1.132,1,1,1,0,45.66933993,-0.000402541,0.000159303,0.001858033,,
1.142,1.142,1,1,1,0,45.66974674,0.002182741,0.000507175,0.001752775,,
1.152,1.152,1,1,1,0,45.66959474,0.001955335,0.000317884,0.00166804,,
1.163,1.163,1,1,1,0,45.66955004,0.000865059,0.000478793,0.001898228,,
1.173,1.173,1,1,1,0,45.66946063,0.000624498,0.000271178,0.001981224,,
1.183,1.183,1,1,1,0,45.66969756,0.001818431,0.000291527,0.001686559,,
1.193,1.193,1,1,1,0,45.67038153,0.000951067,0.000548735,0.001818921,,
1.203,1.203,1,1,1,0,45.66933099,0.000729389,0.000335765,0.001882813,,
1.213,1.213,1,1,1,0,45.67041282,0.001398474,0.000420236,0.001610373,,
1.228,1.228,1,1,1,0,45.66955898,-7.65E-05,0.000265171,0.002358816,,
1.238,1.238,1,1,1,0,45.66961263,0.002312171,0.000373088,0.001773493,,
1.248,1.248,1,1,1,0,45.6694204,0.001682038,0.00030417,0.001841306,,
1.258,1.258,1,1,1,0,45.67018483,0.000229548,0.000585965,0.001808952,,
1.268,1.268,1,1,1,0,45.66972885,0.002077152,0.000305078,0.001838326,,
