"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",
0.647,0.647,1,1,1,0,30.2966293890311,0.0233226921409369,0.00686019204357378,0.0171173468682446,
0.651,0.651,1,1,1,0,30.2959141332652,0.0219858717173338,0.00780413405417837,0.0169876375927634,
0.661,0.661,1,1,1,0,30.2973759372368,0.0212078681215644,0.00756657694465742,0.0170353645005041,
0.671,0.671,1,1,1,0,30.2965265710148,0.0236957566812634,0.0075246907111939,0.0170392692679652,
0.681,0.681,1,1,1,0,30.296944548603,0.0221862457692623,0.00751297932963073,0.0171038754205037,
0.691,0.691,1,1,1,0,30.2971077163246,0.022297608666122,0.00763502915498689,0.0167496775138943,
0.701,0.701,1,1,1,0,30.2968685526778,0.0228866934776306,0.00794467063293643,0.0168800612492096,
0.712,0.712,1,1,1,0,30.2972150046895,0.0225073890760541,0.00745218724760003,0.0171141698074466,
0.722,0.722,1,1,1,0,30.2961264748207,0.0220685498788953,0.00749989424724802,0.0168293702679871,
0.732,0.732,1,1,1,0,30.2970183093538,0.0225955154746771,0.00795917598226815,0.0165440382602375,
0.742,0.742,1,1,1,0,30.2977849741279,0.0227908371016383,0.00784494926666394,0.0170989589632913,
0.752,0.752,1,1,1,0,30.2972485323035,0.0225884141400456,0.00742475979733877,0.0166465384060918,
0.762,0.762,1,1,1,0,30.297552516004,0.0219417037442327,0.00740934640848227,0.0169327046141627,
0.772,0.772,1,1,1,0,30.2970026631339,0.0224521616473794,0.00760280539338961,0.0170458718747631,
0.782,0.782,1,1,1,0,30.2972060639924,0.0229365658015013,0.00710547913058773,0.0168596854626398,
0.792,0.792,1,1,1,0,30.2976016898379,0.0225001247599721,0.00757286337213665,0.0170704009139961,
0.802,0.802,1,1,1,0,30.295712967581,0.021772482432425,0.00733013742224388,0.0171863370097053,
0.812,0.812,1,1,1,0,30.2969356079059,0.0223449431359768,0.00723239511647411,0.016881374670992,
0.822,0.822,1,1,1,0,30.2971725363784,0.0226882286369801,0.00771747448722385,0.0167190250893245,
0.832,0.832,1,1,1,0,30.2969870169141,0.0212961109355092,0.00728121970322952,0.0172611310555287,
0.843,0.843,1,1,1,0,30.2970272500509,0.020966213196516,0.00786529866524488,0.016713789151138,
0.853,0.853,1,1,1,0,30.2968841988977,0.0231995945796371,0.00778576371610016,0.0171710729187209,
0.863,0.863,1,1,1,0,30.2975167532157,0.0234330538660288,0.00729947362598404,0.0173193475885854,
0.88,0.88,1,1,1,0,30.2970496017936,0.0217067310586572,0.00763607689290009,0.017091078432597,
0.89,0.89,1,1,1,0,30.2973200578801,0.0230253906920552,0.00745742593716606,0.0168055866843603,
0.9,0.9,1,1,1,0,30.2973669965397,0.0228274147957563,0.00770268974111527,0.0167820160880496,
0.91,0.91,1,1,1,0,30.2969110209889,0.0220730900764465,0.00784667221345454,0.0170115276700483,
0.92,0.92,1,1,1,0,30.2970741887105,0.0225559575483203,0.00773984951243698,0.0171033961990426,
0.93,0.93,1,1,1,0,30.2978676755759,0.0236542196944356,0.00721963599699773,0.0167039029898842,
0.94,0.94,1,1,1,0,30.2971524198099,0.0218409346416593,0.00747435272523053,0.0167880329797283,
0.95,0.95,1,1,1,0,30.2967053849562,0.0217949273064733,0.00744357251364701,0.0171298243751771,
0.962,0.962,1,1,1,0,30.2968730230264,0.0207893317565322,0.0072587981118869,0.0170705606544832,
0.972,0.972,1,1,1,0,30.2960214216301,0.0232947757467628,0.00750243210130446,0.0172080262180575,
0.982,0.982,1,1,1,0,30.2972127695152,0.0232887687161565,0.00738950923732556,0.0170109774528151,
0.992,0.992,1,1,1,0,30.2968417305866,0.0207272591069341,0.00789354102277197,0.0169171920379763,
1.002,1.002,1,1,1,0,30.2978497941817,0.0232730526477098,0.00767111790533066,0.0171565187854568,
1.012,1.012,1,1,1,0,30.2973155875315,0.0235027866438031,0.00740599364716001,0.0169155413862768,
1.022,1.022,1,1,1,0,30.2976083953607,0.0209510326385498,0.00755793892763965,0.0170060964934887,
1.032,1.032,1,1,1,0,30.2975703973981,0.0223142327740788,0.0076215249774389,0.016947613726287,
1.042,1.042,1,1,1,0,30.2973133523573,0.0230462988838553,0.0078283484415058,0.0169154526415618,
1.052,1.052,1,1,1,0,30.2970741887105,0.0208857469260693,0.00774846424639001,0.0168230161463913,
1.062,1.062,1,1,1,0,30.2966517407738,0.022498145699501,0.00747791503413543,0.0168423269963808,
1.072,1.072,1,1,1,0,30.2969244320346,0.0229436671361327,0.00768227049334012,0.0168038827858318,
1.082,1.082,1,1,1,0,30.2974876959502,0.0214931322261691,0.00743104622481801,0.0171268248038093,
1.092,1.092,1,1,1,0,30.2981403668366,0.0220301328226924,0.00758573890693672,0.0166161344667241,
1.102,1.102,1,1,1,0,30.2969467837772,0.0229516066610813,0.00772827782926224,0.0172143270928243,
1.112,1.112,1,1,1,0,30.2969914872626,0.0217755790799856,0.00763742731065489,0.0168319261157799,
1.122,1.122,1,1,1,0,30.2967970271012,0.0219298992305994,0.0077477191883184,0.0166001959159055,
1.132,1.132,1,1,1,0,30.297161360507,0.0229405937716365,0.0073649688870918,0.0173395103878391,
1.142,1.142,1,1,1,0,30.2972015936438,0.0218543456867337,0.00770192139997892,0.0170579944028356,
1.152,1.152,1,1,1,0,30.2978028555221,0.0221348367631435,0.00773342338656932,0.0172814713442125,
1.163,1.163,1,1,1,0,30.296919961686,0.0221645692363381,0.00739062682443298,0.0170959416429804,
1.173,1.173,1,1,1,0,30.29640363643,0.0227569136768579,0.00779535633877218,0.0169265279819969,
1.183,1.183,1,1,1,0,30.296287407368,0.022236374206841,0.00762701978071705,0.0166707479643507,
1.189,1.189,1,1,1,0,30.2953732210922,0.0206778524443507,0.00750680931747518,0.016877913627106,
1.191,1.191,1,1,1,0,30.2963276405049,0.0230472767725587,0.00777575199826285,0.0172038019696223,
1.201,1.201,1,1,1,0,30.2970585424907,0.0215485459193587,0.00774762605605945,0.0170616329361516,
1.211,1.211,1,1,1,0,30.2968462009352,0.0222992151975632,0.0075716060866408,0.0170415411326699,
1.221,1.221,1,1,1,0,30.2969132561632,0.0226180301979184,0.00751020864492692,0.0169218777589296,
1.231,1.231,1,1,1,0,30.2969400782544,0.022853328846395,0.00746932358324714,0.0172631189371453,
1.241,1.241,1,1,1,0,30.2962359983599,0.0225784722715616,0.00744776346529983,0.017423019164678,
1.251,1.251,1,1,1,0,30.2972932357889,0.0228412449359894,0.00772967481314652,0.0169670310699345,
1.262,1.262,1,1,1,0,30.2968976099433,0.0229365890845656,0.00816616242778823,0.0169334678187119,
1.265,1.265,1,1,1,0,30.2968685526778,0.0238270964473486,0.00750697229892835,0.017020952358784,
1.275,1.275,1,1,1,0,30.2972462971292,0.0213564140722156,0.00744969595967308,0.0172487777911972,
1.286,1.286,1,1,1,0,30.2973580558426,0.020880694501102,0.00777260878452323,0.017276075665539,
1.296,1.296,1,1,1,0,30.2963209349821,0.0225993571802974,0.00769638003057129,0.0168818716413962,
1.306,1.306,1,1,1,0,30.2968439657609,0.0230841105803847,0.00766657770770676,0.0171590036374775,
1.316,1.316,1,1,1,0,30.2978587348788,0.0208002980798483,0.00760464475550391,0.0169439751929709,
1.326,1.326,1,1,1,0,30.2970048983082,0.0224595656618476,0.00752883509671725,0.0170311047541829,
1.344,1.344,1,1,1,0,30.296919961686,0.0235335202887654,0.00752999924995415,0.016940851379002,
1.354,1.354,1,1,1,0,30.2966807980393,0.0226672273129225,0.00773523946561888,0.0170496169017372,
1.364,1.364,1,1,1,0,30.297219475038,0.0211624195799232,0.00759488915137872,0.0167026783128169,
1.374,1.374,1,1,1,0,30.2972910006146,0.0225652242079377,0.00732713390689269,0.0169645107200278,
1.378,1.378,1,1,1,0,30.2969333727316,0.0221407972276211,0.00776825485141724,0.0176353142719618,
1.382,1.382,1,1,1,0,30.2967456180931,0.0215148087590933,0.0073451317159351,0.0169605172078517,
1.392,1.392,1,1,1,0,30.2976709802402,0.0237472588196397,0.00767842878765836,0.0172879319594664,
1.402,1.402,1,1,1,0,30.2966875035621,0.022468576207757,0.00769137417165264,0.016800847716578,
1.413,1.413,1,1,1,0,30.2975815732695,0.0225090887397528,0.0075851102641888,0.0169833600974992,
1.423,1.423,1,1,1,0,30.2974318165935,0.0212217913940549,0.00751861383129731,0.0172335137002128,
1.433,1.433,1,1,1,0,30.2959320146593,0.0233824132010341,0.00716482766260468,0.0169279478974373,
1.436,1.436,1,1,1,0,30.2983951767032,0.0231133541092277,0.0075399178355325,0.0169360414154477,
1.446,1.446,1,1,1,0,30.296861847155,0.0217549968510866,0.00773614750514366,0.0169726042380381,
1.456,1.456,1,1,1,0,30.2974228758964,0.0220921123400331,0.00720075343149528,0.0173752035122224,
1.466,1.466,1,1,1,0,30.2975078125186,0.022390834055841,0.00774511148506776,0.0169787631212609,
1.476,1.476,1,1,1,0,30.2963097591107,0.0218440778553486,0.00746927701711766,0.0170826654336126,
1.486,1.486,1,1,1,0,30.2961600024347,0.021601771004498,0.00751705386595987,0.0167867373068889,
1.496,1.496,1,1,1,0,30.2968059677983,0.0226850621402264,0.00779514679118953,0.0173102068829378,
1.506,1.506,1,1,1,0,30.2967478532673,0.0226331874728203,0.00762830034927763,0.0169636765197066,
1.516,1.516,1,1,1,0,30.2970428962708,0.022025522775948,0.00776471582557708,0.0168452378230337,
1.526,1.526,1,1,1,0,30.2976620395431,0.022150157019496,0.00744832225885354,0.0173361735865542,
1.536,1.536,1,1,1,0,30.2964237529984,0.0225045718252659,0.00753097713867314,0.0170959061450944,
1.546,1.546,1,1,1,0,30.2975078125186,0.0216348329558969,0.00771647331544012,0.0170219108017062,
1.556,1.556,1,1,1,0,30.2978162665677,0.022551859728992,0.00744941656289622,0.0170256380797373,
1.566,1.566,1,1,1,0,30.2967232663504,0.02307437825948,0.00689437158260904,0.0170792753854987,
1.576,1.576,1,1,1,0,30.2971501846357,0.0220837770029902,0.00764923182447702,0.017136462479861,
