Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",width,thickness
0.67,0.67,1,1,1,0,41.4910795,0.000426662,-4.00E-05,0.0030375,,
0.68,0.68,1,1,1,0,41.49160253,0.000842311,-0.00021942,0.003202417,,
0.69,0.69,1,1,1,0,41.49073528,0.000845478,0.000148406,0.002987253,,
0.7,0.7,1,1,1,0,41.49156677,0.000580866,-2.56E-05,0.00321564,,
0.711,0.711,1,1,1,0,41.49113761,0.001178565,-0.000261026,0.003232689,,
0.721,0.721,1,1,1,0,41.49132984,0.001047133,0.00013723,0.002922601,,
0.731,0.731,1,1,1,0,41.49158912,0.00062969,-0.000316813,0.002865019,,
0.741,0.741,1,1,1,0,41.4905073,0.001480407,1.00E-06,0.003072532,,
0.751,0.751,1,1,1,0,41.49090516,0.001540454,-1.46E-05,0.002732066,,
0.761,0.761,1,1,1,0,41.49123149,0.000755023,3.07E-05,0.003703252,,
0.771,0.771,1,1,1,0,41.49127172,0.00046182,-0.000141561,0.002999718,,
0.781,0.781,1,1,1,0,41.49145948,0.001348997,0.000262819,0.003099049,,
0.791,0.791,1,1,1,0,41.49174558,0.000500516,0.000210642,0.003165411,,
0.801,0.801,1,1,1,0,41.49150865,0.001356401,8.79E-05,0.00283584,,
0.811,0.811,1,1,1,0,41.4910795,0.001614355,0.00015276,0.003113206,,
0.821,0.821,1,1,1,0,41.49142372,0.000536558,-5.24E-05,0.003329111,,
0.831,0.831,1,1,1,0,41.49074869,0.00155624,0.000230828,0.002882315,,
0.842,0.842,1,1,1,0,41.49150865,0.00237138,-0.000166753,0.003072479,,
0.852,0.852,1,1,1,0,41.49130749,0.001209113,-8.85E-05,0.003210527,,
0.862,0.862,1,1,1,0,41.49088727,-0.000115973,0.000146101,0.003174896,,
0.872,0.872,1,1,1,0,41.49106162,0.002666027,-7.03E-06,0.003193567,,
0.882,0.882,1,1,1,0,41.49099456,0.001426018,8.73E-05,0.002821683,,
0.892,0.892,1,1,1,0,41.4912449,-0.000538444,0.000224565,0.003162519,,
0.902,0.902,1,1,1,0,41.49096774,0.001724274,-0.000259141,0.002666039,,
0.912,0.912,1,1,1,0,41.4909141,0.001891307,0.000154739,0.00283235,,
0.922,0.922,1,1,1,0,41.49135666,0.000359793,0.000339188,0.003467265,,
0.932,0.932,1,1,1,0,41.49121808,0.001438893,0.000110175,0.003168778,,
0.942,0.942,1,1,1,0,41.49121361,0.002160389,0.000167591,0.003358907,,
0.952,0.952,1,1,1,0,41.49058329,-0.000204705,8.82E-05,0.003186091,,
0.963,0.963,1,1,1,0,41.49187522,0.0005143,0.000316044,0.003209611,,
0.973,0.973,1,1,1,0,41.49159806,0.001845905,0.000314997,0.003162836,,
0.983,0.983,1,1,1,0,41.49070846,0.001293351,0.000154227,0.003065039,,
0.993,0.993,1,1,1,0,41.49175899,0.000675931,0.000124727,0.003023731,,
1.003,1.003,1,1,1,0,41.49160253,0.001842831,0.000301772,0.002855693,,
1.013,1.013,1,1,1,0,41.49164276,0.000956841,0.000325171,0.003203793,,
1.023,1.023,1,1,1,0,41.4915623,0.000585802,0.000165612,0.003160897,,
1.034,1.034,1,1,1,0,41.49128067,0.000760797,0.000276905,0.003515767,,
1.044,1.044,1,1,1,0,41.49089622,0.001238729,0.000453345,0.003093989,,
1.054,1.054,1,1,1,0,41.4912762,0.001214258,0.000132201,0.003291646,,
1.064,1.064,1,1,1,0,41.49175005,0.001378544,0.000587758,0.003013699,,
1.074,1.074,1,1,1,0,41.49140137,0.000893488,-0.00022864,0.003177223,,
1.084,1.084,1,1,1,0,41.49090069,0.00092804,2.19E-05,0.003202135,,
1.094,1.094,1,1,1,0,41.49090963,0.001336238,0.000321004,0.002996244,,
1.104,1.104,1,1,1,0,41.49111079,0.00073975,0.000476139,0.003237961,,
1.114,1.114,1,1,1,0,41.49094092,0.001316494,0.000796444,0.003087677,,
1.124,1.124,1,1,1,0,41.49132537,0.002605584,0.000310526,0.003412363,,
1.134,1.134,1,1,1,0,41.49183052,0.000958238,0.000403565,0.003453813,,
1.144,1.144,1,1,1,0,41.49068164,0.000208663,0.000114506,0.003217139,,
1.155,1.155,1,1,1,0,41.49161147,0.001435052,0.000372715,0.003046809,,
1.165,1.165,1,1,1,0,41.49119126,0.002508005,0.000300957,0.003133693,,
1.175,1.175,1,1,1,0,41.49127172,0.000417605,0.000297977,0.003037482,,
1.185,1.185,1,1,1,0,41.49181711,0.001421361,0.000404753,0.002882403,,
1.195,1.195,1,1,1,0,41.49162041,0.002628448,0.000643171,0.003442635,,
1.205,1.205,1,1,1,0,41.4916517,0.000345474,-0.000109035,0.003344591,,
1.215,1.215,1,1,1,0,41.4912449,0.000666222,0.000222982,0.003348558,,
1.225,1.225,1,1,1,0,41.49078446,0.002823584,0.000401307,0.003177505,,
1.235,1.235,1,1,1,0,41.49128514,0.001274166,-4.61E-05,0.003376767,,
1.245,1.245,1,1,1,0,41.49104374,0.001208298,0.000468735,0.003254216,,
1.255,1.255,1,1,1,0,41.4920898,0.00206891,0.000366126,0.002980976,,
1.265,1.265,1,1,1,0,41.4914863,0.001283595,0.000670063,0.00292521,,
1.275,1.275,1,1,1,0,41.49137901,0.000934559,0.000294764,0.00332964,,
1.286,1.286,1,1,1,0,41.49145948,0.001159636,0.000777491,0.003309083,,
1.296,1.296,1,1,1,0,41.49176793,0.002271705,0.000269106,0.003001675,,
1.306,1.306,1,1,1,0,41.49115103,0.000528176,0.000242773,0.003450692,,
1.316,1.316,1,1,1,0,41.49191546,0.001186668,0.000439771,0.003322077,,
1.33,1.33,1,1,1,0,41.49153548,-7.65E-05,0.000448036,0.003180714,,
1.343,1.343,1,1,1,0,41.49139689,0.001048204,0.000314345,0.003316223,,
1.353,1.353,1,1,1,0,41.49188416,0.000595627,0.000551739,0.003191398,,
1.363,1.363,1,1,1,0,41.49094092,0.003141444,0.000441843,0.003431863,,
1.373,1.373,1,1,1,0,41.49159359,0.001256866,0.000223494,0.00297819,,
1.383,1.383,1,1,1,0,41.49126278,0.000480888,0.000314647,0.003108851,,
1.393,1.393,1,1,1,0,41.49039107,0.001705461,0.000436767,0.003329464,,
1.403,1.403,1,1,1,0,41.49116444,0.00156702,0.000623334,0.003494522,,
1.413,1.413,1,1,1,0,41.49156677,0.0005977,0.000495394,0.003119994,,
1.423,1.423,1,1,1,0,41.49125831,0.002169563,0.000223145,0.003467283,,
1.442,1.442,1,1,1,0,41.49093198,0.00167843,0.000330852,0.003062007,,
1.452,1.452,1,1,1,0,41.49131643,0.002146745,0.000458863,0.002991784,,
1.462,1.462,1,1,1,0,41.49135219,0.001614052,0.000631227,0.003297076,,
1.472,1.472,1,1,1,0,41.4915623,0.001214398,0.000369502,0.003235246,,
1.482,1.482,1,1,1,0,41.49114656,0.002386677,0.000373437,0.003264795,,
1.492,1.492,1,1,1,0,41.49114208,0.001531024,0.000706455,0.003485619,,
1.502,1.502,1,1,1,0,41.49076658,0.001492235,0.000399817,0.003452491,,
1.512,1.512,1,1,1,0,41.49137901,0.002389099,0.000319863,0.002985419,,
1.522,1.522,1,1,1,0,41.49176346,0.001138821,0.000442704,0.003171317,,
1.532,1.532,1,1,1,0,41.49220156,0.00160269,0.000588247,0.003311199,,
1.542,1.542,1,1,1,0,41.49044471,0.001721294,0.000552926,0.003598984,,
1.552,1.552,1,1,1,0,41.49169641,0.002172892,0.000389665,0.003072867,,
1.562,1.562,1,1,1,0,41.49134772,0.001599127,0.00043055,0.003634862,,
1.572,1.572,1,1,1,0,41.49183946,0.001534005,0.00046317,0.003279499,,
1.582,1.582,1,1,1,0,41.49099009,0.001797732,0.000526267,0.003276713,,
1.592,1.592,1,1,1,0,41.49141478,0.001635891,0.000554137,0.003425251,,
1.609,1.609,1,1,1,0,41.49174558,0.002188422,0.000354927,0.003342934,,
1.619,1.619,1,1,1,0,41.49106609,0.001696753,0.000821846,0.003146193,,
1.629,1.629,1,1,1,0,41.49134325,0.000725803,0.000422122,0.003151236,,
1.639,1.639,1,1,1,0,41.49085151,0.002019154,0.000497513,0.003275814,,
1.649,1.649,1,1,1,0,41.49192887,0.001711282,0.000499748,0.003005077,,
1.659,1.659,1,1,1,0,41.49104374,0.001795543,0.000540819,0.003355275,,
1.669,1.669,1,1,1,0,41.49162041,0.00185438,0.000702101,0.003306914,,
1.685,1.685,1,1,1,0,41.49188863,0.000869529,0.000478816,0.003153228,,
1.695,1.695,1,1,1,0,41.4902346,0.000776397,0.000768271,0.003136743,,
