Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",width,thickness
0,0,1,1,1,0,40.84125623,0.014360016,-0.000613811,0.004973456,13,5
0.01,0.01,1,1,1,0,40.84146633,0.013953657,-0.000456511,0.00508635,,
0.02,0.02,1,1,1,0,40.84079578,0.013744133,-0.000529084,0.005008971,,
0.031,0.031,1,1,1,0,40.84046944,0.013803481,-0.000121724,0.004962305,,
0.041,0.041,1,1,1,0,40.84123387,0.0148013,-0.000281399,0.004943294,,
0.051,0.051,1,1,1,0,40.8413501,0.013926625,-0.000342214,0.005013684,,
0.062,0.062,1,1,1,0,40.841064,0.012964522,-0.000351202,0.005135345,,
0.072,0.072,1,1,1,0,40.84059014,0.014036894,-0.000798702,0.004830969,,
0.084,0.084,1,1,1,0,40.84116235,0.014552637,-0.000383239,0.004850585,,
0.103,0.103,1,1,1,0,40.84084048,0.013744272,-0.000580866,0.004988074,,
0.117,0.117,1,1,1,0,40.84088966,0.013816683,-0.000464916,0.004949998,,
0.128,0.128,1,1,1,0,40.84218606,0.013126596,-0.00064855,0.005103725,,
0.138,0.138,1,1,1,0,40.84118917,0.014457316,-0.000673253,0.004937301,,
0.149,0.149,1,1,1,0,40.8404605,0.014012237,-0.000458513,0.004761148,,
0.159,0.159,1,1,1,0,40.84159597,0.014211633,-0.000312855,0.005100097,,
0.173,0.173,1,1,1,0,40.84127411,0.015318953,-0.000329991,0.004895739,,
0.184,0.184,1,1,1,0,40.84073319,0.014114915,-0.000465242,0.004864599,,
0.194,0.194,1,1,1,0,40.84110423,0.012662727,-0.000639865,0.00468537,,
0.204,0.204,1,1,1,0,40.84198042,0.013298704,-0.000296347,0.005003209,,
0.215,0.215,1,1,1,0,40.8407019,0.014475407,-0.000458979,0.004855209,,
0.225,0.225,1,1,1,0,40.84149315,0.014334964,-0.000759214,0.004977866,,
0.235,0.235,1,1,1,0,40.84134563,0.014595827,-0.00061139,0.005091312,,
0.246,0.246,1,1,1,0,40.84072425,0.013811444,-0.000717049,0.004557982,,
0.256,0.256,1,1,1,0,40.84091648,0.014131656,-0.000373367,0.004923589,,
0.266,0.266,1,1,1,0,40.84073319,0.014227093,-0.000495464,0.005153699,,
0.276,0.276,1,1,1,0,40.84007158,0.013604527,-0.000350527,0.004836233,,
0.286,0.286,1,1,1,0,40.84141269,0.013360032,-0.00031516,0.004875749,,
0.297,0.297,1,1,1,0,40.84102377,0.012433855,-0.000642263,0.004842884,,
0.307,0.307,1,1,1,0,40.84130093,0.013370719,-0.000714115,0.004878826,,
0.317,0.317,1,1,1,0,40.84113106,0.014238036,-0.00060387,0.004612223,,
0.318,0.318,1,1,1,0,40.8408986,0.014227279,-0.000446546,0.004469808,,
0.328,0.328,1,1,1,0,40.84228888,0.013569649,-0.000582379,0.004779875,,
0.338,0.338,1,1,1,0,40.84024593,0.013698335,-0.000474695,0.005093268,,
0.348,0.348,1,1,1,0,40.84143951,0.014679926,-0.000277604,0.004978098,,
0.359,0.359,1,1,1,0,40.84114894,0.01513022,-0.00020517,0.004881672,,
0.369,0.369,1,1,1,0,40.84084048,0.013352674,-0.000555557,0.005140752,,
0.386,0.386,1,1,1,0,40.8417122,0.013448065,-0.000809226,0.00513828,,
0.396,0.396,1,1,1,0,40.84046497,0.014791009,-0.000421307,0.005362983,,
0.406,0.406,1,1,1,0,40.84087178,0.013344106,-0.000439724,0.005053929,,
0.422,0.422,1,1,1,0,40.84078237,0.013553025,-0.000483589,0.004712313,,
0.432,0.432,1,1,1,0,40.84100589,0.014451961,-0.00031353,0.00501548,,
0.444,0.444,1,1,1,0,40.84076896,0.014166813,-0.000761892,0.004895846,,
0.454,0.454,1,1,1,0,40.84121599,0.013566203,-0.000709249,0.004741603,,
0.464,0.464,1,1,1,0,40.84160044,0.012265262,-0.000501727,0.005076142,,
0.465,0.465,1,1,1,0,40.84135457,0.012019579,-0.000508223,0.004951386,,
0.475,0.475,1,1,1,0,40.84148421,0.014262809,-0.00048189,0.004944396,,
0.488,0.488,1,1,1,0,40.84128305,0.013633328,-0.00025474,0.004745925,,
0.498,0.498,1,1,1,0,40.84150657,0.013559964,-0.000564847,0.004976675,,
0.508,0.508,1,1,1,0,40.84118917,0.014809263,-0.000783079,0.005007601,,
0.518,0.518,1,1,1,0,40.84150209,0.013712957,-0.000651833,0.004864954,,
0.528,0.528,1,1,1,0,40.84164962,0.01416055,-0.000712299,0.005193873,,
0.538,0.538,1,1,1,0,40.8410193,0.014413102,-0.000376557,0.005257878,,
0.548,0.548,1,1,1,0,40.84084495,0.013654563,-0.000575138,0.004908348,,
0.558,0.558,1,1,1,0,40.84143951,0.013693608,-0.000791601,0.005104401,,
0.568,0.568,1,1,1,0,40.84168538,0.014199479,-0.000486407,0.005070682,,
0.579,0.579,1,1,1,0,40.84052309,0.013243104,-0.000426243,0.004850229,,
0.589,0.589,1,1,1,0,40.84061697,0.013869302,-0.000619655,0.005136323,,
0.599,0.599,1,1,1,0,40.84141716,0.013554096,-0.000403146,0.004985851,,
0.609,0.609,1,1,1,0,40.84141269,0.01316152,-0.000639353,0.005282118,,
0.627,0.627,1,1,1,0,40.84196254,0.013582385,-0.000411342,0.005299511,,
0.637,0.637,1,1,1,0,40.84092095,0.013377285,-0.000825012,0.004540517,,
0.647,0.647,1,1,1,0,40.84087625,0.014194194,-0.000541168,0.005063408,,
0.657,0.657,1,1,1,0,40.84081366,0.013682107,-0.000372203,0.005032357,,
0.667,0.667,1,1,1,0,40.84129199,0.014368724,-0.000493857,0.004839754,,
0.677,0.677,1,1,1,0,40.84119364,0.014417851,-0.000165147,0.005093997,,
0.687,0.687,1,1,1,0,40.84096565,0.013407832,-0.000566943,0.005077102,,
0.697,0.697,1,1,1,0,40.84091201,0.014180993,-0.000287383,0.005057628,,
0.712,0.712,1,1,1,0,40.84118917,0.014890078,-0.000327942,0.005008242,,
0.722,0.722,1,1,1,0,40.84107294,0.012554578,-0.000513811,0.004849109,,
0.732,0.732,1,1,1,0,40.8413501,0.013795029,-0.000662892,0.005001377,,
0.742,0.742,1,1,1,0,40.84042474,0.014261296,-0.000337791,0.005001875,,
0.752,0.752,1,1,1,0,40.84063485,0.013934495,-0.000373996,0.00517175,,
0.762,0.762,1,1,1,0,40.84130987,0.01430281,-0.000441563,0.005299653,,
0.772,0.772,1,1,1,0,40.84105506,0.014904188,-0.000337115,0.005376054,,
0.783,0.783,1,1,1,0,40.84210112,0.013545295,-0.000113156,0.004957681,,
0.793,0.793,1,1,1,0,40.84050074,0.013125315,-9.42E-05,0.005139187,,
0.803,0.803,1,1,1,0,40.84084942,0.013878639,-8.52E-05,0.005069882,,
0.813,0.813,1,1,1,0,40.84076449,0.01380567,-0.000399188,0.005206091,,
0.823,0.823,1,1,1,0,40.84116235,0.014226767,-0.000513461,0.005123697,,
0.834,0.834,1,1,1,0,40.84127411,0.01456202,-0.00024694,0.004979147,,
0.844,0.844,1,1,1,0,40.84129646,0.013519335,-0.000543986,0.004787024,,
0.854,0.854,1,1,1,0,40.84156021,0.013802224,-0.00028098,0.005211888,,
0.864,0.864,1,1,1,0,40.841064,0.014758855,-0.000178837,0.004692964,,
0.874,0.874,1,1,1,0,40.84145292,0.014061923,-0.000281725,0.00528491,,
0.884,0.884,1,1,1,0,40.84185078,0.014066114,-0.0002563,0.005224729,,
0.892,0.892,1,1,1,0,40.84105953,0.014362507,0.000381679,0.00495231,,
0.902,0.902,1,1,1,0,40.84093436,0.014235754,-0.00030396,0.00506933,,
0.912,0.912,1,1,1,0,40.84141716,0.014245813,-0.00023006,0.005181993,,
0.922,0.922,1,1,1,0,40.84148421,0.014077337,-6.32E-05,0.004968174,,
0.932,0.932,1,1,1,0,40.84151998,0.014376291,-5.73E-05,0.005224355,,
0.942,0.942,1,1,1,0,40.84111317,0.014361716,0.000199187,0.005112333,,
0.95,0.95,1,1,1,0,40.84251686,0.013864832,0.000119978,0.005242975,,
0.953,0.953,1,1,1,0,40.84084048,0.014755735,-0.0003302,0.004930365,,
0.964,0.964,1,1,1,0,40.8411847,0.013774517,-0.000518328,0.00514422,,
0.974,0.974,1,1,1,0,40.84088519,0.013701501,-0.00043984,0.005146976,,
0.993,0.993,1,1,1,0,40.84220841,0.013821688,-0.000477093,0.004823179,,
1.003,1.003,1,1,1,0,40.8417882,0.014327583,-0.0001651,0.00509791,,
1.013,1.013,1,1,1,0,40.84100142,0.014461786,-0.000397512,0.004751687,,
1.023,1.023,1,1,1,0,40.84135457,0.012423773,-0.000653486,0.005224355,,
1.034,1.034,1,1,1,0,40.84111764,0.013217819,-0.000689714,0.005081619,,
1.044,1.044,1,1,1,0,40.84100589,0.014566048,-0.000424776,0.004949074,,
1.054,1.054,1,1,1,0,40.84091201,0.014687376,-0.000273273,0.005155104,,
1.064,1.064,1,1,1,0,40.84076449,0.013035396,-0.000889483,0.005197003,,
1.074,1.074,1,1,1,0,40.84172114,0.014498876,-0.000573578,0.0050455,,
1.084,1.084,1,1,1,0,40.8408986,0.013620872,-0.000623311,0.005213756,,
1.094,1.094,1,1,1,0,40.84066167,0.013029203,-0.000683055,0.004945908,,
1.104,1.104,1,1,1,0,40.84180161,0.014337641,-0.000729808,0.005066734,,
1.114,1.114,1,1,1,0,40.84120258,0.014543091,-0.000373879,0.005145767,,
1.124,1.124,1,1,1,0,40.84189996,0.013558986,-0.000522356,0.004991774,,
1.134,1.134,1,1,1,0,40.84157809,0.014205556,-0.000626431,0.004871161,,
1.144,1.144,1,1,1,0,40.84079578,0.01481988,-0.000449247,0.004923251,,
1.155,1.155,1,1,1,0,40.84129199,0.013361592,-0.000371737,0.004994103,,
1.165,1.165,1,1,1,0,40.84040686,0.013593631,-0.000987807,0.004750709,,
1.175,1.175,1,1,1,0,40.84113553,0.014208374,-0.000642124,0.004905538,,
1.185,1.185,1,1,1,0,40.84114,0.013589626,-0.000557187,0.005264565,,
1.195,1.195,1,1,1,0,40.84126517,0.013487204,-0.000516349,0.004998692,,
1.205,1.205,1,1,1,0,40.84160491,0.01407871,-0.000534137,0.004943365,,
1.215,1.215,1,1,1,0,40.84181502,0.012848573,-0.000890763,0.005047225,,
1.225,1.225,1,1,1,0,40.84145739,0.014081318,-0.000961917,0.004929031,,
1.235,1.235,1,1,1,0,40.84042474,0.01347845,-0.000668573,0.004520617,,
1.245,1.245,1,1,1,0,40.84115788,0.013184152,-0.000526011,0.004998994,,
1.255,1.255,1,1,1,0,40.84117576,0.013978966,-0.000495999,0.004845712,,
1.265,1.265,1,1,1,0,40.84103718,0.014584325,-0.000610808,0.005289268,,
1.275,1.275,1,1,1,0,40.84055438,0.013568765,-0.000606105,0.004889337,,
1.286,1.286,1,1,1,0,40.84097012,0.013022544,-0.000481075,0.00519976,,
1.296,1.296,1,1,1,0,40.84042027,0.013995403,-0.000497,0.005228054,,
1.306,1.306,1,1,1,0,40.84220394,0.01399715,-0.000672555,0.00532464,,
1.316,1.316,1,1,1,0,40.84069743,0.012826151,-0.000852835,0.005067908,,
1.326,1.326,1,1,1,0,40.84161832,0.014842348,-0.000720099,0.005030952,,
1.344,1.344,1,1,1,0,40.84193125,0.014476408,-0.000151293,0.005073794,,
1.354,1.354,1,1,1,0,40.84139928,0.013467041,-0.000481983,0.004996309,,
1.364,1.364,1,1,1,0,40.84084495,0.014045346,-0.000523217,0.00500095,,
1.374,1.374,1,1,1,0,40.84037557,0.014411379,-0.000725873,0.004852168,,
1.384,1.384,1,1,1,0,40.84215477,0.013764109,-0.000744686,0.005066058,,
1.394,1.394,1,1,1,0,40.84136798,0.012592645,-0.000623753,0.005081655,,
1.404,1.404,1,1,1,0,40.84074214,0.014588842,-0.000694324,0.004889763,,
1.415,1.415,1,1,1,0,40.83978548,0.01519681,-0.000467151,0.005038297,,
1.417,1.417,1,1,1,0,40.84139928,0.013443106,-0.000514416,0.005122487,,
1.427,1.427,1,1,1,0,40.84126964,0.014650007,-0.000426569,0.005161097,,
1.437,1.437,1,1,1,0,40.84044262,0.013246736,-0.000216672,0.004782258,,
1.447,1.447,1,1,1,0,40.84050521,0.013279286,-0.000301143,0.00482366,,
1.457,1.457,1,1,1,0,40.84090307,0.014768168,-0.000235485,0.004999385,,
1.467,1.467,1,1,1,0,40.84096565,0.014150632,-0.000303332,0.005166912,,
1.477,1.477,1,1,1,0,40.84148421,0.014205789,-0.000405195,0.004827608,,
1.487,1.487,1,1,1,0,40.84082707,0.01425643,-9.13E-05,0.005354411,,
1.497,1.497,1,1,1,0,40.84114447,0.014283555,-0.000183634,0.005244789,,
1.507,1.507,1,1,1,0,40.84112212,0.014262204,-0.000305148,0.005244825,,
1.517,1.517,1,1,1,0,40.84144398,0.014766399,4.34E-05,0.005090316,,
1.527,1.527,1,1,1,0,40.84098353,0.0143599,-0.00016999,0.005233354,,
1.538,1.538,1,1,1,0,40.84120705,0.01352604,-0.000156136,0.005375503,,
1.548,1.548,1,1,1,0,40.84163621,0.014579389,-0.000614277,0.005097856,,
1.558,1.558,1,1,1,0,40.84143057,0.014327047,-0.000421307,0.005137195,,
1.568,1.568,1,1,1,0,40.84123387,0.013618683,-9.13E-06,0.005110981,,
1.578,1.578,1,1,1,0,40.84107294,0.014722417,-0.000251178,0.004758765,,
1.588,1.588,1,1,1,0,40.84161832,0.013514049,-0.000161445,0.005069882,,
1.598,1.598,1,1,1,0,40.84162279,0.013762782,4.76E-05,0.005191935,,
1.608,1.608,1,1,1,0,40.84232911,0.014658761,-0.000390527,0.00468521,,
1.618,1.618,1,1,1,0,40.84169432,0.01385354,-0.00028403,0.005078507,,
1.628,1.628,1,1,1,0,40.84087625,0.013749418,-0.000243215,0.00557995,,
1.638,1.638,1,1,1,0,40.8417882,0.014484883,-0.000337674,0.005049288,,
1.648,1.648,1,1,1,0,40.84152892,0.013967208,-0.000308733,0.004871855,,
1.658,1.658,1,1,1,0,40.84128305,0.012977119,-0.000272412,0.005470684,,
1.669,1.669,1,1,1,0,40.84032639,0.013678544,-0.000387034,0.005021544,,
1.679,1.679,1,1,1,0,40.84132328,0.014670147,-0.000359537,0.004979182,,
1.689,1.689,1,1,1,0,40.84118917,0.013131439,-0.000583404,0.005171607,,
1.699,1.699,1,1,1,0,40.84125176,0.012322911,-0.000570202,0.005096505,,
1.709,1.709,1,1,1,0,40.84104612,0.014151027,-0.000201794,0.004663886,,
1.719,1.719,1,1,1,0,40.84144845,0.013557705,-0.000624405,0.005161364,,
1.729,1.729,1,1,1,0,40.84076896,0.01306436,-0.000820099,0.005013666,,
1.739,1.739,1,1,1,0,40.84097459,0.014416408,-0.000614394,0.005095029,,
1.749,1.749,1,1,1,0,40.84111764,0.013391091,-0.000380585,0.004907974,,
1.759,1.759,1,1,1,0,40.84122493,0.012795464,-0.00041395,0.005098319,,
1.769,1.769,1,1,1,0,40.84106847,0.014014938,-0.000873301,0.005180357,,
1.78,1.78,1,1,1,0,40.84085836,0.01340888,-0.000725896,0.005142406,,
1.79,1.79,1,1,1,0,40.8414708,0.013257703,-0.000477349,0.004852701,,
1.8,1.8,1,1,1,0,40.84094777,0.013570557,-0.000463938,0.004811584,,
1.81,1.81,1,1,1,0,40.84083601,0.013546227,-0.000357069,0.005155957,,
1.82,1.82,1,1,1,0,40.84134116,0.013373094,-0.000641006,0.004784908,,
1.83,1.83,1,1,1,0,40.84116682,0.013736472,-0.00068075,0.005249964,,
1.84,1.84,1,1,1,0,40.84077343,0.014137547,-0.000499096,0.005246959,,
1.85,1.85,1,1,1,0,40.84068402,0.013542199,-0.000626757,0.005144824,,
1.86,1.86,1,1,1,0,40.84059908,0.014245557,-0.000749761,0.005095793,,
1.87,1.87,1,1,1,0,40.84125176,0.014866586,-0.000434066,0.005186457,,
1.88,1.88,1,1,1,0,40.84181949,0.013217493,-0.000588153,0.004943258,,
1.89,1.89,1,1,1,0,40.84194019,0.014047464,-0.0006516,0.005149253,,
1.9,1.9,1,1,1,0,40.84119811,0.013927347,-0.000430294,0.00487751,,
1.91,1.91,1,1,1,0,40.84119811,0.01361547,-0.000404636,0.005002053,,
1.921,1.921,1,1,1,0,40.84155127,0.014390564,-0.000541448,0.005095366,,
1.931,1.931,1,1,1,0,40.8413501,0.014460017,-0.000437396,0.004929458,,
1.941,1.941,1,1,1,0,40.84013864,0.013492908,-0.000408618,0.004967996,,
1.951,1.951,1,1,1,0,40.84149315,0.013848417,-0.000265497,0.005394176,,
1.961,1.961,1,1,1,0,40.84125176,0.014732475,-0.000705081,0.00476972,,
1.971,1.971,1,1,1,0,40.84088072,0.013720361,-0.000245683,0.005093375,,
