Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",width,thickness
0,0,1,1,1,0,44.63649273,0.020232424,-0.00220926,0.012816223,13,5
0.018,0.018,1,1,1,0,44.63572383,0.018602796,-0.002349867,0.012867008,,
0.029,0.029,1,1,1,0,44.63469565,0.018625753,-0.002008886,0.012693753,,
0.042,0.042,1,1,1,0,44.63578194,0.018859026,-0.002208096,0.012748951,,
0.052,0.052,1,1,1,0,44.63592499,0.019138772,-0.001819618,0.013050184,,
0.077,0.077,1,1,1,0,44.63694423,0.019013858,-0.001691002,0.013179044,,
0.087,0.087,1,1,1,0,44.63517844,0.018164469,-0.0020904,0.01315426,,
0.108,0.108,1,1,1,0,44.63520974,0.020082784,-0.002187607,0.012966654,,
0.118,0.118,1,1,1,0,44.63615745,0.018519489,-0.002117245,0.013071119,,
0.129,0.129,1,1,1,0,44.6358177,0.018695649,-0.002014707,0.012997704,,
0.139,0.139,1,1,1,0,44.63626921,0.018440094,-0.001964136,0.013329563,,
0.15,0.15,1,1,1,0,44.63538855,0.018457044,-0.001752679,0.012744397,,
0.16,0.16,1,1,1,0,44.63568359,0.018981681,-0.001952285,0.013374805,,
0.17,0.17,1,1,1,0,44.6352455,0.017247838,-0.001832633,0.012843301,,
0.183,0.183,1,1,1,0,44.63588476,0.019268529,-0.001709419,0.013095179,,
0.193,0.193,1,1,1,0,44.63571042,0.01870275,-0.001820666,0.013034473,,
0.203,0.203,1,1,1,0,44.63582664,0.01927889,-0.001879828,0.013292493,,
0.216,0.216,1,1,1,0,44.63588923,0.018812926,-0.001910143,0.013049001,,
0.226,0.226,1,1,1,0,44.63574618,0.018349942,-0.002037338,0.013084128,,
0.236,0.236,1,1,1,0,44.63600546,0.018428639,-0.002300576,0.012791916,,
0.247,0.247,1,1,1,0,44.63493257,0.017926213,-0.00215848,0.012800901,,
0.257,0.257,1,1,1,0,44.63596076,0.019512489,-0.001947186,0.013133978,,
0.267,0.267,1,1,1,0,44.63518291,0.018096948,-0.001844461,0.012648546,,
0.277,0.277,1,1,1,0,44.6356076,0.017910451,-0.002062507,0.013219096,,
0.287,0.287,1,1,1,0,44.6352902,0.019191462,-0.002413103,0.012800407,,
0.298,0.298,1,1,1,0,44.63577747,0.018993067,-0.00225415,0.012706533,,
0.308,0.308,1,1,1,0,44.63587582,0.017457758,-0.001937966,0.012651812,,
0.318,0.318,1,1,1,0,44.6365866,0.017837598,-0.002211845,0.012841289,,
0.328,0.328,1,1,1,0,44.63516056,0.018431037,-0.00250279,0.012908791,,
0.342,0.342,1,1,1,0,44.63527232,0.018841238,-0.002339832,0.012699349,,
0.353,0.353,1,1,1,0,44.63582664,0.018971041,-0.00230642,0.012828297,,
0.357,0.357,1,1,1,0,44.63507563,0.018127705,-0.002296572,0.012393615,,
0.367,0.367,1,1,1,0,44.634642,0.018010219,-0.002249447,0.012912992,,
0.379,0.379,1,1,1,0,44.63638097,0.018107332,-0.002106908,0.012673683,,
0.389,0.389,1,1,1,0,44.6366179,0.019500172,-0.001889281,0.013070148,,
0.399,0.399,1,1,1,0,44.63456601,0.018378906,-0.002243253,0.012949655,,
0.409,0.409,1,1,1,0,44.63554948,0.01871374,-0.001948373,0.013171806,,
0.422,0.422,1,1,1,0,44.63535726,0.017976994,-0.001850911,0.013333905,,
0.432,0.432,1,1,1,0,44.63541984,0.018576952,-0.002173707,0.012922859,,
0.442,0.442,1,1,1,0,44.63520974,0.018719351,-0.002190936,0.012928949,,
0.452,0.452,1,1,1,0,44.63558078,0.016649161,-0.002093939,0.012981747,,
0.462,0.462,1,1,1,0,44.63475376,0.01919507,-0.001706043,0.012902789,,
0.472,0.472,1,1,1,0,44.63537067,0.019299309,-0.001736986,0.012864572,,
0.483,0.483,1,1,1,0,44.63559419,0.018558837,-0.001750584,0.013368044,,
0.493,0.493,1,1,1,0,44.63655084,0.018469011,-0.001765764,0.013169511,,
0.503,0.503,1,1,1,0,44.6351695,0.019157398,-0.001700316,0.013157208,,
0.513,0.513,1,1,1,0,44.63518291,0.018190127,-0.001714495,0.013413869,,
0.523,0.523,1,1,1,0,44.63525891,0.018989993,-0.00184176,0.012990749,,
0.533,0.533,1,1,1,0,44.63596523,0.019777683,-0.001775287,0.013153713,,
0.543,0.543,1,1,1,0,44.63562101,0.018313504,-0.00158418,0.01284925,,
0.558,0.558,1,1,1,0,44.63588476,0.019896682,-0.001758128,0.012830645,,
0.568,0.568,1,1,1,0,44.63564783,0.018594484,-0.001610536,0.013148876,,
0.579,0.579,1,1,1,0,44.63495046,0.017733779,-0.001776661,0.013172106,,
0.589,0.589,1,1,1,0,44.63591605,0.018608943,-0.001919735,0.013167146,,
0.599,0.599,1,1,1,0,44.63517844,0.019207667,-0.002229773,0.013065117,,
0.609,0.609,1,1,1,0,44.6360904,0.018031546,-0.00159808,0.013254524,,
0.619,0.619,1,1,1,0,44.6353662,0.017988845,-0.002017873,0.013179838,,
0.629,0.629,1,1,1,0,44.63513821,0.020548305,-0.00187885,0.012886973,,
0.639,0.639,1,1,1,0,44.63567912,0.018637418,-0.001792074,0.013098674,,
0.649,0.649,1,1,1,0,44.63547349,0.018805731,-0.001878897,0.01293751,,
0.659,0.659,1,1,1,0,44.63610381,0.019770162,-0.001902087,0.013115584,,
0.669,0.669,1,1,1,0,44.63537961,0.01805271,-0.001865765,0.013129653,,
0.679,0.679,1,1,1,0,44.63567912,0.01779967,-0.001894846,0.013116238,,
0.689,0.689,1,1,1,0,44.63525891,0.020379829,-0.00147901,0.012706445,,
0.699,0.699,1,1,1,0,44.63533938,0.018162304,-0.00200409,0.013403542,,
0.71,0.71,1,1,1,0,44.63561654,0.017817575,-0.001815613,0.012885755,,
0.72,0.72,1,1,1,0,44.63533938,0.018250081,-0.001969142,0.012948349,,
0.73,0.73,1,1,1,0,44.63625133,0.018401304,-0.001878501,0.013707423,,
0.74,0.74,1,1,1,0,44.63622898,0.018064608,-0.002018223,0.012900829,,
0.75,0.75,1,1,1,0,44.6353662,0.018939818,-0.002029492,0.012884572,,
0.76,0.76,1,1,1,0,44.63616639,0.018127612,-0.002268958,0.013212724,,
0.77,0.77,1,1,1,0,44.63612169,0.017989124,-0.002162065,0.013083687,,
0.78,0.78,1,1,1,0,44.63602334,0.018802774,-0.002122205,0.012897599,,
0.797,0.797,1,1,1,0,44.63579088,0.019125035,-0.002178177,0.012993079,,
0.816,0.816,1,1,1,0,44.63554948,0.018868293,-0.001969445,0.012989372,,
0.826,0.826,1,1,1,0,44.63642567,0.018984149,-0.00226188,0.013193448,,
0.837,0.837,1,1,1,0,44.63489681,0.017732452,-0.002207398,0.013285891,,
0.847,0.847,1,1,1,0,44.635697,0.017591985,-0.002189237,0.012923936,,
0.857,0.857,1,1,1,0,44.63622451,0.019128784,-0.002250425,0.013177172,,
0.867,0.867,1,1,1,0,44.6349281,0.017981138,-0.002083229,0.013069848,,
0.877,0.877,1,1,1,0,44.6363765,0.01812249,-0.001940387,0.013204621,,
0.887,0.887,1,1,1,0,44.63531255,0.018345122,-0.002378202,0.013093625,,
0.897,0.897,1,1,1,0,44.63507116,0.017771777,-0.00179708,0.013100757,,
0.907,0.907,1,1,1,0,44.63523209,0.018592598,-0.001857709,0.01292503,,
0.917,0.917,1,1,1,0,44.63481188,0.018809014,-0.002442068,0.012993467,,
0.927,0.927,1,1,1,0,44.63556289,0.018339511,-0.002178643,0.013040969,,
0.937,0.937,1,1,1,0,44.63597417,0.018604309,-0.001711305,0.013317736,,
0.947,0.947,1,1,1,0,44.63495493,0.018334854,-0.001945486,0.013173112,,
0.957,0.957,1,1,1,0,44.6355316,0.018792832,-0.00209352,0.013062681,,
0.971,0.971,1,1,1,0,44.63517844,0.019925809,-0.001836335,0.012717672,,
0.981,0.981,1,1,1,0,44.6360591,0.018694461,-0.001647603,0.013152371,,
0.991,0.991,1,1,1,0,44.63676542,0.018701912,-0.001705461,0.013329527,,
1.001,1.001,1,1,1,0,44.63539302,0.01995815,-0.002059992,0.013214189,,
1.011,1.011,1,1,1,0,44.63592946,0.018442608,-0.001842575,0.013263191,,
1.021,1.021,1,1,1,0,44.63582664,0.018639793,-0.001979433,0.013278531,,
1.032,1.032,1,1,1,0,44.63532597,0.019264035,-0.002194801,0.013458123,,
1.042,1.042,1,1,1,0,44.63541984,0.019639218,-0.001723762,0.013254259,,
1.052,1.052,1,1,1,0,44.63513821,0.017257361,-0.001810771,0.013071419,,
1.062,1.062,1,1,1,0,44.63570147,0.018554996,-0.001931842,0.013119556,,
1.072,1.072,1,1,1,0,44.63666707,0.01979284,-0.002274779,0.013188576,,
1.082,1.082,1,1,1,0,44.6365419,0.018984801,-0.001874683,0.01349115,,
1.092,1.092,1,1,1,0,44.63582664,0.018946081,-0.002211425,0.013096644,,
1.102,1.102,1,1,1,0,44.63598311,0.019054161,-0.002103299,0.013133378,,
1.112,1.112,1,1,1,0,44.63611275,0.018317834,-0.002129632,0.013049195,,
1.122,1.122,1,1,1,0,44.63539302,0.018961867,-0.00220479,0.012771016,,
1.132,1.132,1,1,1,0,44.63592499,0.018692482,-0.002080179,0.01282685,,
1.142,1.142,1,1,1,0,44.63567912,0.018288544,-0.002159039,0.012935622,,
1.152,1.152,1,1,1,0,44.63571936,0.018399465,-0.002248306,0.013019345,,
1.163,1.163,1,1,1,0,44.63523656,0.018178881,-0.00235918,0.013566065,,
1.173,1.173,1,1,1,0,44.63549137,0.018246728,-0.00231599,0.013354258,,
1.183,1.183,1,1,1,0,44.63579982,0.01892806,-0.00182502,0.013415105,,
1.197,1.197,1,1,1,0,44.63583111,0.018060533,-0.002186559,0.01312757,,
1.207,1.207,1,1,1,0,44.63595181,0.018511107,-0.001934101,0.012964818,,
1.217,1.217,1,1,1,0,44.63583559,0.019711792,-0.001990842,0.013017298,,
1.227,1.227,1,1,1,0,44.63513374,0.018672342,-0.001725298,0.013102628,,
1.237,1.237,1,1,1,0,44.63488787,0.018883077,-0.002304371,0.013366385,,
1.247,1.247,1,1,1,0,44.63609934,0.019187317,-0.001985999,0.013179167,,
1.257,1.257,1,1,1,0,44.63508904,0.017979438,-0.00217713,0.01295338,,
1.267,1.267,1,1,1,0,44.63513821,0.017753476,-0.001816032,0.012965913,,
1.277,1.277,1,1,1,0,44.63612616,0.019330368,-0.001994032,0.013243897,,
1.288,1.288,1,1,1,0,44.63598311,0.019438355,-0.002105627,0.013070095,,
1.298,1.298,1,1,1,0,44.63573277,0.017707446,-0.002077129,0.01317539,,
1.308,1.308,1,1,1,0,44.63632732,0.018461305,-0.001961389,0.013694625,,
1.318,1.318,1,1,1,0,44.63625133,0.019624108,-0.002109818,0.013176272,,
1.328,1.328,1,1,1,0,44.63562101,0.01825199,-0.002109958,0.012990555,,
1.338,1.338,1,1,1,0,44.63634073,0.018009287,-0.001957198,0.012984906,,
1.352,1.352,1,1,1,0,44.63507563,0.017655874,-0.002195546,0.013356129,,
1.362,1.362,1,1,1,0,44.63543325,0.019013649,-0.002036034,0.013202309,,
1.372,1.372,1,1,1,0,44.63627815,0.01823944,-0.002268911,0.013261532,,
1.382,1.382,1,1,1,0,44.63537514,0.017837808,-0.001958176,0.012987942,,
1.392,1.392,1,1,1,0,44.63562101,0.019133976,-0.002233428,0.013439235,,
1.402,1.402,1,1,1,0,44.63467329,0.019032368,-0.001955056,0.013048595,,
1.413,1.413,1,1,1,0,44.63598758,0.01808831,-0.001980248,0.013152989,,
1.423,1.423,1,1,1,0,44.63554948,0.01863502,-0.001743902,0.013239078,,
1.433,1.433,1,1,1,0,44.63581323,0.019772374,-0.001690071,0.013505201,,
1.452,1.452,1,1,1,0,44.63619321,0.019343826,-0.001791818,0.013484795,,
1.462,1.462,1,1,1,0,44.63506669,0.020020152,-0.001733145,0.013441212,,
1.472,1.472,1,1,1,0,44.63574618,0.018040068,-0.001593074,0.013523753,,
1.482,1.482,1,1,1,0,44.63558525,0.019455538,-0.00204402,0.013059875,,
1.492,1.492,1,1,1,0,44.63525444,0.020210934,-0.001904834,0.013460223,,
1.502,1.502,1,1,1,0,44.63550925,0.01802647,-0.001828885,0.01327786,,
1.512,1.512,1,1,1,0,44.6352902,0.019179541,-0.001784088,0.013425908,,
1.522,1.522,1,1,1,0,44.63592946,0.019958406,-0.001981575,0.013122822,,
1.54,1.54,1,1,1,0,44.63610381,0.018757465,-0.001847581,0.013428591,,
